--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 8.2 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 709.1 MB, received: 709.1 MB, requests: 86559, responses: 86558 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.079479ms
[Conn 2] sent: 708.7 MB, received: 708.7 MB, requests: 86509, responses: 86508 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078899ms
[Conn 3] sent: 708.8 MB, received: 708.8 MB, requests: 86523, responses: 86522 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078886ms
[Conn 4] sent: 709.1 MB, received: 709.1 MB, requests: 86560, responses: 86559 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078348ms
[Conn 5] sent: 709.1 MB, received: 709.1 MB, requests: 86561, responses: 86560 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078325ms
[Conn 6] sent: 708.8 MB, received: 708.8 MB, requests: 86526, responses: 86525 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078817ms
[Conn 7] sent: 708.7 MB, received: 708.7 MB, requests: 86513, responses: 86512 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078803ms
[Conn 8] sent: 708.8 MB, received: 708.8 MB, requests: 86525, responses: 86524 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078881ms
[Conn 9] sent: 708.8 MB, received: 708.8 MB, requests: 86527, responses: 86526 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078788ms
[Conn 10] sent: 709.1 MB, received: 709.1 MB, requests: 86559, responses: 86558 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078369ms
[Conn 11] sent: 708.7 MB, received: 708.7 MB, requests: 86510, responses: 86509 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078876ms
[Conn 12] sent: 708.8 MB, received: 708.8 MB, requests: 86528, responses: 86527 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078812ms
[Conn 13] sent: 708.7 MB, received: 708.7 MB, requests: 86509, responses: 86508 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078901ms
[Conn 14] sent: 709.1 MB, received: 709.1 MB, requests: 86558, responses: 86557 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.0784ms
[Conn 15] sent: 708.8 MB, received: 708.8 MB, requests: 86522, responses: 86521 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078911ms
[Conn 16] sent: 708.8 MB, received: 708.8 MB, requests: 86529, responses: 86528 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078746ms
[Conn 17] sent: 708.8 MB, received: 708.8 MB, requests: 86527, responses: 86526 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078838ms
[Conn 18] sent: 709.1 MB, received: 709.1 MB, requests: 86559, responses: 86558 sent/sec: 3.9 MB recv/sec 3.9 MB req/sec: 480 res/sec 480 avg-res-time: 2.078376ms
