--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 4.1 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638375ms
[Conn 2] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638397ms
[Conn 3] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638397ms
[Conn 4] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638401ms
[Conn 5] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638313ms
[Conn 6] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638379ms
[Conn 7] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638469ms
[Conn 8] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.63841ms
[Conn 9] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638335ms
[Conn 10] sent: 14.8 MB, received: 14.8 MB, requests: 3620, responses: 3619 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.638391ms
[Conn 11] sent: 14.8 MB, received: 14.8 MB, requests: 3621, responses: 3620 sent/sec: 82.4 kB recv/sec 82.4 kB req/sec: 20 res/sec 20 avg-res-time: 49.624746ms
