--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 4.1 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 14.9 MB, received: 14.9 MB, requests: 3639, responses: 3638 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.384416ms
[Conn 2] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425369ms
[Conn 3] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425376ms
[Conn 4] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425375ms
[Conn 5] sent: 14.9 MB, received: 14.9 MB, requests: 3639, responses: 3638 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.384418ms
[Conn 6] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.424949ms
[Conn 7] sent: 14.9 MB, received: 14.9 MB, requests: 3640, responses: 3639 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.370603ms
[Conn 8] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425376ms
[Conn 9] sent: 14.9 MB, received: 14.9 MB, requests: 3639, responses: 3638 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.384192ms
[Conn 10] sent: 14.9 MB, received: 14.9 MB, requests: 3637, responses: 3636 sent/sec: 82.8 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.411564ms
[Conn 11] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425431ms
[Conn 12] sent: 14.9 MB, received: 14.9 MB, requests: 3638, responses: 3637 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.397535ms
[Conn 13] sent: 14.9 MB, received: 14.9 MB, requests: 3638, responses: 3637 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.397804ms
[Conn 14] sent: 14.9 MB, received: 14.9 MB, requests: 3639, responses: 3638 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.384424ms
[Conn 15] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.424678ms
[Conn 16] sent: 14.9 MB, received: 14.9 MB, requests: 3638, responses: 3637 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.397924ms
[Conn 17] sent: 14.9 MB, received: 14.9 MB, requests: 3637, responses: 3636 sent/sec: 82.8 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.411804ms
[Conn 18] sent: 14.9 MB, received: 14.9 MB, requests: 3638, responses: 3637 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.39784ms
[Conn 19] sent: 14.9 MB, received: 14.9 MB, requests: 3637, responses: 3636 sent/sec: 82.8 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.411085ms
[Conn 20] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425393ms
[Conn 21] sent: 14.9 MB, received: 14.9 MB, requests: 3638, responses: 3637 sent/sec: 82.8 kB recv/sec 82.8 kB req/sec: 20 res/sec 20 avg-res-time: 49.398028ms
[Conn 22] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425001ms
[Conn 23] sent: 14.9 MB, received: 14.9 MB, requests: 3636, responses: 3635 sent/sec: 82.7 kB recv/sec 82.7 kB req/sec: 20 res/sec 20 avg-res-time: 49.425425ms
