--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 16.4 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543642ms
[Conn 2] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517388ms
[Conn 3] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517399ms
[Conn 4] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543669ms
[Conn 5] sent: 43.0 MB, received: 43.0 MB, requests: 2624, responses: 2623 sent/sec: 238.8 kB recv/sec 238.8 kB req/sec: 14 res/sec 14 avg-res-time: 68.465221ms
[Conn 6] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543741ms
[Conn 7] sent: 43.0 MB, received: 43.0 MB, requests: 2624, responses: 2623 sent/sec: 238.8 kB recv/sec 238.8 kB req/sec: 14 res/sec 14 avg-res-time: 68.464946ms
[Conn 8] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.51756ms
[Conn 9] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517455ms
[Conn 10] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517592ms
[Conn 11] sent: 43.0 MB, received: 43.0 MB, requests: 2623, responses: 2622 sent/sec: 238.8 kB recv/sec 238.7 kB req/sec: 14 res/sec 14 avg-res-time: 68.491447ms
[Conn 12] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543325ms
[Conn 13] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543891ms
[Conn 14] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517461ms
[Conn 15] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517611ms
[Conn 16] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543739ms
[Conn 17] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517199ms
[Conn 18] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517669ms
[Conn 19] sent: 43.0 MB, received: 43.0 MB, requests: 2623, responses: 2622 sent/sec: 238.8 kB recv/sec 238.7 kB req/sec: 14 res/sec 14 avg-res-time: 68.491358ms
[Conn 20] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.544074ms
[Conn 21] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543766ms
[Conn 22] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517503ms
[Conn 23] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517567ms
[Conn 24] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543353ms
[Conn 25] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543896ms
[Conn 26] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.544074ms
[Conn 27] sent: 43.0 MB, received: 43.0 MB, requests: 2623, responses: 2622 sent/sec: 238.8 kB recv/sec 238.7 kB req/sec: 14 res/sec 14 avg-res-time: 68.491427ms
[Conn 28] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543703ms
[Conn 29] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517587ms
[Conn 30] sent: 43.0 MB, received: 43.0 MB, requests: 2625, responses: 2624 sent/sec: 238.9 kB recv/sec 238.8 kB req/sec: 14 res/sec 14 avg-res-time: 68.439419ms
[Conn 31] sent: 43.0 MB, received: 43.0 MB, requests: 2623, responses: 2622 sent/sec: 238.8 kB recv/sec 238.7 kB req/sec: 14 res/sec 14 avg-res-time: 68.492087ms
[Conn 32] sent: 43.0 MB, received: 42.9 MB, requests: 2622, responses: 2621 sent/sec: 238.7 kB recv/sec 238.6 kB req/sec: 14 res/sec 14 avg-res-time: 68.517232ms
[Conn 33] sent: 43.0 MB, received: 43.0 MB, requests: 2623, responses: 2622 sent/sec: 238.8 kB recv/sec 238.7 kB req/sec: 14 res/sec 14 avg-res-time: 68.491831ms
[Conn 34] sent: 42.9 MB, received: 42.9 MB, requests: 2621, responses: 2620 sent/sec: 238.6 kB recv/sec 238.5 kB req/sec: 14 res/sec 14 avg-res-time: 68.543754ms
