--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 4.1 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 2] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 3] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 4] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 5] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 6] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 7] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 8] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 9] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 10] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 11] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 12] sent: 666.1 MB, received: 662.4 MB, requests: 162624, responses: 161718 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 13] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 14] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 15] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 16] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 17] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 18] sent: 666.1 MB, received: 662.4 MB, requests: 162624, responses: 161718 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 19] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 20] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 21] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 22] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 23] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 24] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 25] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 26] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 27] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 28] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 29] sent: 666.1 MB, received: 662.4 MB, requests: 162624, responses: 161718 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 30] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 31] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 32] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 33] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 34] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 35] sent: 666.1 MB, received: 662.4 MB, requests: 162624, responses: 161718 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 36] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 37] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 38] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 39] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 40] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 41] sent: 666.1 MB, received: 662.4 MB, requests: 162624, responses: 161718 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 42] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 43] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 44] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 45] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 46] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 47] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 48] sent: 666.1 MB, received: 662.4 MB, requests: 162624, responses: 161720 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 49] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 50] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 51] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 52] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 53] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 54] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 55] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 56] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 57] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 58] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 59] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 60] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 61] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 62] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 63] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 64] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 65] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 66] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 67] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 68] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 69] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 70] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161752 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 71] sent: 666.1 MB, received: 662.6 MB, requests: 162624, responses: 161760 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 72] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161744 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 73] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
[Conn 74] sent: 666.1 MB, received: 662.5 MB, requests: 162624, responses: 161750 sent/sec: 3.7 MB recv/sec 3.7 MB req/sec: 903 res/sec 898
