--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 100.0 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 617.3 MB, received: 608.8 MB, requests: 6173, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 2] sent: 616.9 MB, received: 608.8 MB, requests: 6169, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 3] sent: 617.1 MB, received: 608.8 MB, requests: 6171, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 4] sent: 617.0 MB, received: 608.8 MB, requests: 6170, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 5] sent: 617.1 MB, received: 608.8 MB, requests: 6171, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 6] sent: 617.0 MB, received: 608.8 MB, requests: 6170, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 7] sent: 616.4 MB, received: 608.8 MB, requests: 6164, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 8] sent: 617.2 MB, received: 608.8 MB, requests: 6172, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 9] sent: 617.2 MB, received: 608.8 MB, requests: 6172, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 10] sent: 616.9 MB, received: 608.8 MB, requests: 6169, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 11] sent: 616.8 MB, received: 608.8 MB, requests: 6168, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 12] sent: 617.2 MB, received: 608.8 MB, requests: 6172, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 13] sent: 616.5 MB, received: 608.8 MB, requests: 6165, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 14] sent: 616.6 MB, received: 608.8 MB, requests: 6166, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 15] sent: 617.0 MB, received: 608.8 MB, requests: 6170, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 16] sent: 617.3 MB, received: 608.8 MB, requests: 6173, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 17] sent: 616.6 MB, received: 608.8 MB, requests: 6166, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 18] sent: 616.5 MB, received: 608.8 MB, requests: 6165, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 19] sent: 617.4 MB, received: 608.8 MB, requests: 6174, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 20] sent: 617.2 MB, received: 608.8 MB, requests: 6172, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 21] sent: 617.2 MB, received: 608.8 MB, requests: 6172, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 22] sent: 616.5 MB, received: 608.8 MB, requests: 6165, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 23] sent: 616.5 MB, received: 608.8 MB, requests: 6165, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 24] sent: 617.2 MB, received: 608.8 MB, requests: 6172, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 25] sent: 617.0 MB, received: 608.8 MB, requests: 6170, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 26] sent: 616.9 MB, received: 608.8 MB, requests: 6169, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
[Conn 27] sent: 617.0 MB, received: 608.8 MB, requests: 6170, responses: 6088 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 34 res/sec 33
