--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 1.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 33] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 34] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 35] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436485ms
[Conn 36] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 37] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436481ms
[Conn 38] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436477ms
[Conn 39] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436461ms
[Conn 40] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43648ms
[Conn 41] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 42] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436465ms
[Conn 43] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43648ms
[Conn 44] sent: 128.2 MB, received: 128.2 MB, requests: 125197, responses: 125196 sent/sec: 712.2 kB recv/sec 712.2 kB req/sec: 695 res/sec 695 avg-res-time: 1.436503ms
[Conn 45] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436483ms
[Conn 46] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436495ms
[Conn 47] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 48] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436497ms
[Conn 49] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436494ms
[Conn 50] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 51] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436489ms
[Conn 52] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
