--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 4.1 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 428.7 MB, received: 428.7 MB, requests: 104657, responses: 104656 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718869ms
[Conn 2] sent: 428.7 MB, received: 428.7 MB, requests: 104659, responses: 104658 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718856ms
[Conn 3] sent: 428.7 MB, received: 428.7 MB, requests: 104661, responses: 104660 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.719799ms
[Conn 4] sent: 428.7 MB, received: 428.7 MB, requests: 104658, responses: 104657 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718854ms
[Conn 5] sent: 428.7 MB, received: 428.7 MB, requests: 104657, responses: 104656 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718868ms
[Conn 6] sent: 428.6 MB, received: 428.6 MB, requests: 104639, responses: 104638 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718848ms
[Conn 7] sent: 428.7 MB, received: 428.7 MB, requests: 104656, responses: 104655 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718889ms
[Conn 8] sent: 428.7 MB, received: 428.7 MB, requests: 104656, responses: 104655 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718885ms
[Conn 9] sent: 428.7 MB, received: 428.7 MB, requests: 104660, responses: 104659 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718841ms
[Conn 10] sent: 428.7 MB, received: 428.7 MB, requests: 104658, responses: 104657 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718873ms
[Conn 11] sent: 428.7 MB, received: 428.7 MB, requests: 104658, responses: 104657 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718851ms
[Conn 12] sent: 428.6 MB, received: 428.6 MB, requests: 104639, responses: 104638 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718839ms
[Conn 13] sent: 428.7 MB, received: 428.7 MB, requests: 104657, responses: 104656 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718865ms
[Conn 14] sent: 428.7 MB, received: 428.7 MB, requests: 104659, responses: 104658 sent/sec: 2.4 MB recv/sec 2.4 MB req/sec: 581 res/sec 581 avg-res-time: 1.718847ms
