--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 512 B	duration: 3m0s	connections: 512
Connection metrics:
[Conn 37] sent: 762.2 MB, received: 758.2 MB, requests: 1488661, responses: 1480773 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8270 res/sec 8226
[Conn 38] sent: 764.1 MB, received: 758.1 MB, requests: 1492325, responses: 1480696 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8290 res/sec 8226
[Conn 39] sent: 764.7 MB, received: 758.0 MB, requests: 1493540, responses: 1480375 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8297 res/sec 8224
[Conn 40] sent: 764.3 MB, received: 758.2 MB, requests: 1492836, responses: 1480823 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8293 res/sec 8226
[Conn 41] sent: 763.3 MB, received: 758.1 MB, requests: 1490854, responses: 1480632 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8282 res/sec 8225
[Conn 42] sent: 763.5 MB, received: 757.9 MB, requests: 1491173, responses: 1480312 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8284 res/sec 8223
[Conn 43] sent: 763.1 MB, received: 757.6 MB, requests: 1490342, responses: 1479736 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8279 res/sec 8220
[Conn 44] sent: 763.6 MB, received: 758.2 MB, requests: 1491473, responses: 1480867 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8285 res/sec 8227
[Conn 45] sent: 762.1 MB, received: 758.0 MB, requests: 1488405, responses: 1480533 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8268 res/sec 8225
[Conn 46] sent: 764.5 MB, received: 758.0 MB, requests: 1493156, responses: 1480376 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8295 res/sec 8224
[Conn 47] sent: 764.5 MB, received: 758.2 MB, requests: 1493092, responses: 1480823 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8294 res/sec 8226
[Conn 48] sent: 762.0 MB, received: 758.0 MB, requests: 1488277, responses: 1480389 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8268 res/sec 8224
[Conn 49] sent: 763.8 MB, received: 758.0 MB, requests: 1491877, responses: 1480504 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8288 res/sec 8225
[Conn 50] sent: 764.3 MB, received: 758.1 MB, requests: 1492772, responses: 1480615 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8293 res/sec 8225
[Conn 51] sent: 761.9 MB, received: 758.2 MB, requests: 1488149, responses: 1480837 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8267 res/sec 8226
[Conn 52] sent: 762.2 MB, received: 758.1 MB, requests: 1488597, responses: 1480709 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8269 res/sec 8226
[Conn 53] sent: 763.6 MB, received: 758.1 MB, requests: 1491365, responses: 1480631 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8285 res/sec 8225
[Conn 54] sent: 764.3 MB, received: 757.9 MB, requests: 1492708, responses: 1480184 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8292 res/sec 8223
[Conn 55] sent: 761.0 MB, received: 757.5 MB, requests: 1486419, responses: 1479507 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8257 res/sec 8219
[Conn 56] sent: 764.0 MB, received: 758.2 MB, requests: 1492197, responses: 1480823 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8289 res/sec 8226
[Conn 57] sent: 762.1 MB, received: 758.2 MB, requests: 1488492, responses: 1480796 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8269 res/sec 8226
[Conn 58] sent: 760.8 MB, received: 758.0 MB, requests: 1485973, responses: 1480533 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8255 res/sec 8225
[Conn 59] sent: 764.8 MB, received: 758.0 MB, requests: 1493667, responses: 1480376 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8298 res/sec 8224
[Conn 60] sent: 764.7 MB, received: 758.2 MB, requests: 1493476, responses: 1480823 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8297 res/sec 8226
[Conn 61] sent: 764.4 MB, received: 758.0 MB, requests: 1492900, responses: 1480504 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8293 res/sec 8225
[Conn 62] sent: 764.5 MB, received: 758.0 MB, requests: 1493220, responses: 1480439 sent/sec: 4.2 MB recv/sec 4.2 MB req/sec: 8295 res/sec 8224
