--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 512 B	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 833.5 MB, received: 825.3 MB, requests: 1627975, responses: 1612006 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9044 res/sec 8955
[Conn 2] sent: 829.1 MB, received: 825.3 MB, requests: 1619411, responses: 1611843 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 8996 res/sec 8954
[Conn 3] sent: 833.8 MB, received: 825.3 MB, requests: 1628600, responses: 1612006 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9047 res/sec 8955
[Conn 4] sent: 831.6 MB, received: 825.3 MB, requests: 1624124, responses: 1612006 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9022 res/sec 8955
[Conn 5] sent: 833.4 MB, received: 825.3 MB, requests: 1627666, responses: 1611926 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9042 res/sec 8955
[Conn 6] sent: 833.2 MB, received: 825.4 MB, requests: 1627379, responses: 1612038 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9040 res/sec 8955
[Conn 7] sent: 831.3 MB, received: 825.2 MB, requests: 1623634, responses: 1611667 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9020 res/sec 8953
[Conn 8] sent: 833.4 MB, received: 825.4 MB, requests: 1627705, responses: 1612102 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9042 res/sec 8956
[Conn 9] sent: 831.2 MB, received: 825.3 MB, requests: 1623356, responses: 1612006 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9018 res/sec 8955
[Conn 10] sent: 833.6 MB, received: 825.9 MB, requests: 1628175, responses: 1612998 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9045 res/sec 8961
[Conn 11] sent: 832.3 MB, received: 825.6 MB, requests: 1625531, responses: 1612518 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9030 res/sec 8958
[Conn 12] sent: 830.6 MB, received: 825.2 MB, requests: 1622313, responses: 1611667 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9012 res/sec 8953
[Conn 13] sent: 833.1 MB, received: 825.4 MB, requests: 1627246, responses: 1612070 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9040 res/sec 8955
[Conn 14] sent: 833.0 MB, received: 825.6 MB, requests: 1626982, responses: 1612550 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9038 res/sec 8958
[Conn 15] sent: 834.6 MB, received: 825.9 MB, requests: 1630053, responses: 1613062 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9055 res/sec 8961
[Conn 16] sent: 831.7 MB, received: 825.4 MB, requests: 1624444, responses: 1612070 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9024 res/sec 8955
[Conn 17] sent: 832.9 MB, received: 825.8 MB, requests: 1626810, responses: 1612902 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9037 res/sec 8960
[Conn 18] sent: 831.7 MB, received: 825.6 MB, requests: 1624380, responses: 1612486 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9024 res/sec 8958
[Conn 19] sent: 833.5 MB, received: 825.9 MB, requests: 1628025, responses: 1613062 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9044 res/sec 8961
[Conn 20] sent: 834.1 MB, received: 825.4 MB, requests: 1629026, responses: 1612166 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9050 res/sec 8956
[Conn 21] sent: 832.6 MB, received: 825.6 MB, requests: 1626171, responses: 1612518 sent/sec: 4.6 MB recv/sec 4.6 MB req/sec: 9034 res/sec 8958
