--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 1.0 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 469.8 MB, received: 466.6 MB, requests: 458774, responses: 455670 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2548 res/sec 2531
[Conn 2] sent: 469.9 MB, received: 466.7 MB, requests: 458838, responses: 455790 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2549 res/sec 2532
[Conn 3] sent: 472.6 MB, received: 466.6 MB, requests: 461528, responses: 455662 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2531
[Conn 4] sent: 469.7 MB, received: 466.7 MB, requests: 458710, responses: 455790 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2548 res/sec 2532
[Conn 5] sent: 472.5 MB, received: 466.7 MB, requests: 461389, responses: 455758 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2563 res/sec 2531
[Conn 6] sent: 470.3 MB, received: 466.7 MB, requests: 459318, responses: 455790 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2551 res/sec 2532
[Conn 7] sent: 472.2 MB, received: 466.7 MB, requests: 461171, responses: 455766 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2562 res/sec 2532
[Conn 8] sent: 470.1 MB, received: 466.7 MB, requests: 459062, responses: 455790 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2550 res/sec 2532
[Conn 9] sent: 472.0 MB, received: 466.7 MB, requests: 460932, responses: 455793 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2560 res/sec 2532
[Conn 10] sent: 469.8 MB, received: 466.7 MB, requests: 458742, responses: 455790 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2548 res/sec 2532
[Conn 11] sent: 470.1 MB, received: 466.6 MB, requests: 459094, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2550 res/sec 2531
[Conn 12] sent: 473.0 MB, received: 466.7 MB, requests: 461956, responses: 455760 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2566 res/sec 2532
[Conn 13] sent: 472.4 MB, received: 466.7 MB, requests: 461300, responses: 455742 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2562 res/sec 2531
[Conn 14] sent: 472.8 MB, received: 466.6 MB, requests: 461686, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2531
[Conn 15] sent: 473.0 MB, received: 466.7 MB, requests: 461892, responses: 455800 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2566 res/sec 2532
[Conn 16] sent: 474.6 MB, received: 466.7 MB, requests: 463466, responses: 455792 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2574 res/sec 2532
[Conn 17] sent: 475.3 MB, received: 466.6 MB, requests: 464196, responses: 455695 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2578 res/sec 2531
[Conn 18] sent: 473.0 MB, received: 466.8 MB, requests: 461924, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2566 res/sec 2532
[Conn 19] sent: 472.2 MB, received: 466.7 MB, requests: 461124, responses: 455760 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2561 res/sec 2532
[Conn 20] sent: 474.2 MB, received: 466.6 MB, requests: 463128, responses: 455663 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2572 res/sec 2531
[Conn 21] sent: 471.8 MB, received: 466.6 MB, requests: 460756, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2559 res/sec 2531
[Conn 22] sent: 471.5 MB, received: 466.7 MB, requests: 460485, responses: 455792 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2558 res/sec 2532
[Conn 23] sent: 472.7 MB, received: 466.8 MB, requests: 461668, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2532
[Conn 24] sent: 472.5 MB, received: 466.8 MB, requests: 461446, responses: 455888 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2563 res/sec 2532
[Conn 25] sent: 472.2 MB, received: 466.8 MB, requests: 461159, responses: 455855 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2561 res/sec 2532
[Conn 26] sent: 474.3 MB, received: 466.9 MB, requests: 463197, responses: 455984 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2573 res/sec 2533
[Conn 27] sent: 472.8 MB, received: 466.9 MB, requests: 461701, responses: 455983 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2565 res/sec 2533
[Conn 28] sent: 471.4 MB, received: 466.6 MB, requests: 460312, responses: 455678 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2557 res/sec 2531
[Conn 29] sent: 472.4 MB, received: 466.8 MB, requests: 461350, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2563 res/sec 2532
[Conn 30] sent: 475.3 MB, received: 466.7 MB, requests: 464206, responses: 455774 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2578 res/sec 2532
[Conn 31] sent: 472.0 MB, received: 466.8 MB, requests: 460900, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2560 res/sec 2532
[Conn 32] sent: 470.0 MB, received: 466.6 MB, requests: 458966, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2549 res/sec 2531
[Conn 33] sent: 472.5 MB, received: 466.8 MB, requests: 461414, responses: 455855 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2563 res/sec 2532
[Conn 34] sent: 472.3 MB, received: 466.8 MB, requests: 461223, responses: 455847 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2562 res/sec 2532
[Conn 35] sent: 469.8 MB, received: 466.6 MB, requests: 458774, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2548 res/sec 2531
[Conn 36] sent: 471.9 MB, received: 466.8 MB, requests: 460836, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2560 res/sec 2532
[Conn 37] sent: 472.7 MB, received: 466.9 MB, requests: 461606, responses: 455936 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2532
[Conn 38] sent: 473.3 MB, received: 466.8 MB, requests: 462246, responses: 455855 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2568 res/sec 2532
[Conn 39] sent: 475.1 MB, received: 466.7 MB, requests: 463952, responses: 455767 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2577 res/sec 2532
[Conn 40] sent: 475.0 MB, received: 466.9 MB, requests: 463868, responses: 455952 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2577 res/sec 2533
[Conn 41] sent: 471.4 MB, received: 466.6 MB, requests: 460347, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2557 res/sec 2531
[Conn 42] sent: 474.4 MB, received: 466.8 MB, requests: 463275, responses: 455888 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2573 res/sec 2532
[Conn 43] sent: 472.6 MB, received: 466.7 MB, requests: 461540, responses: 455808 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2532
[Conn 44] sent: 472.5 MB, received: 466.8 MB, requests: 461414, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2563 res/sec 2532
[Conn 45] sent: 472.7 MB, received: 466.8 MB, requests: 461638, responses: 455888 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2532
[Conn 46] sent: 470.1 MB, received: 466.6 MB, requests: 459126, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2550 res/sec 2531
[Conn 47] sent: 474.4 MB, received: 466.9 MB, requests: 463238, responses: 455952 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2573 res/sec 2533
[Conn 48] sent: 474.4 MB, received: 466.9 MB, requests: 463317, responses: 455984 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2573 res/sec 2533
[Conn 49] sent: 470.1 MB, received: 466.8 MB, requests: 459126, responses: 455822 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2550 res/sec 2532
[Conn 50] sent: 472.5 MB, received: 466.9 MB, requests: 461383, responses: 455952 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2563 res/sec 2533
[Conn 51] sent: 472.0 MB, received: 466.9 MB, requests: 460967, responses: 455984 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2560 res/sec 2533
[Conn 52] sent: 472.1 MB, received: 466.9 MB, requests: 461031, responses: 455920 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2561 res/sec 2532
[Conn 53] sent: 471.7 MB, received: 466.8 MB, requests: 460647, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2559 res/sec 2532
[Conn 54] sent: 472.9 MB, received: 466.8 MB, requests: 461796, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2565 res/sec 2532
[Conn 55] sent: 473.1 MB, received: 466.6 MB, requests: 462049, responses: 455662 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2566 res/sec 2531
[Conn 56] sent: 474.2 MB, received: 466.9 MB, requests: 463072, responses: 455984 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2572 res/sec 2533
[Conn 57] sent: 472.0 MB, received: 466.8 MB, requests: 460968, responses: 455822 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2560 res/sec 2532
[Conn 58] sent: 472.7 MB, received: 466.6 MB, requests: 461635, responses: 455694 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2531
[Conn 59] sent: 472.8 MB, received: 466.8 MB, requests: 461670, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2532
[Conn 60] sent: 475.2 MB, received: 466.7 MB, requests: 464025, responses: 455790 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2577 res/sec 2532
[Conn 61] sent: 475.5 MB, received: 466.8 MB, requests: 464324, responses: 455888 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2579 res/sec 2532
[Conn 62] sent: 473.8 MB, received: 466.6 MB, requests: 462725, responses: 455695 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2570 res/sec 2531
[Conn 63] sent: 473.1 MB, received: 466.8 MB, requests: 462022, responses: 455831 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2566 res/sec 2532
[Conn 64] sent: 472.2 MB, received: 466.9 MB, requests: 461159, responses: 455920 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2561 res/sec 2532
[Conn 65] sent: 470.0 MB, received: 466.7 MB, requests: 459030, responses: 455726 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2550 res/sec 2531
[Conn 66] sent: 472.7 MB, received: 466.9 MB, requests: 461574, responses: 455983 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2533
[Conn 67] sent: 474.3 MB, received: 467.0 MB, requests: 463173, responses: 456016 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2573 res/sec 2533
[Conn 68] sent: 474.5 MB, received: 466.9 MB, requests: 463382, responses: 455984 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2574 res/sec 2533
[Conn 69] sent: 472.5 MB, received: 466.9 MB, requests: 461382, responses: 455959 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2563 res/sec 2533
[Conn 70] sent: 472.6 MB, received: 466.6 MB, requests: 461572, responses: 455696 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2531
[Conn 71] sent: 472.8 MB, received: 466.9 MB, requests: 461766, responses: 455951 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2565 res/sec 2533
[Conn 72] sent: 470.4 MB, received: 466.8 MB, requests: 459382, responses: 455822 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2552 res/sec 2532
[Conn 73] sent: 474.7 MB, received: 466.9 MB, requests: 463593, responses: 455984 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2575 res/sec 2533
[Conn 74] sent: 474.2 MB, received: 466.8 MB, requests: 463049, responses: 455823 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2572 res/sec 2532
[Conn 75] sent: 473.4 MB, received: 467.0 MB, requests: 462278, responses: 456015 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2568 res/sec 2533
[Conn 76] sent: 472.6 MB, received: 466.8 MB, requests: 461540, responses: 455856 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2532
[Conn 77] sent: 472.7 MB, received: 466.8 MB, requests: 461574, responses: 455832 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2564 res/sec 2532
[Conn 78] sent: 471.9 MB, received: 466.9 MB, requests: 460839, responses: 455983 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 2560 res/sec 2533
