--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 512 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 421.1 MB, received: 414.1 MB, requests: 822469, responses: 808805 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4569 res/sec 4493
[Conn 2] sent: 419.7 MB, received: 414.0 MB, requests: 819719, responses: 808502 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4553 res/sec 4491
[Conn 3] sent: 422.3 MB, received: 414.1 MB, requests: 824879, responses: 808806 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4582 res/sec 4493
[Conn 4] sent: 418.0 MB, received: 413.9 MB, requests: 816467, responses: 808451 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4535 res/sec 4491
[Conn 5] sent: 420.1 MB, received: 414.1 MB, requests: 820422, responses: 808805 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4557 res/sec 4493
[Conn 6] sent: 421.5 MB, received: 413.9 MB, requests: 823212, responses: 808390 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4573 res/sec 4491
[Conn 7] sent: 419.8 MB, received: 413.9 MB, requests: 820016, responses: 808403 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4555 res/sec 4491
[Conn 8] sent: 421.0 MB, received: 414.1 MB, requests: 822213, responses: 808805 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4567 res/sec 4493
[Conn 9] sent: 421.1 MB, received: 414.1 MB, requests: 822533, responses: 808741 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4569 res/sec 4493
[Conn 10] sent: 420.4 MB, received: 414.3 MB, requests: 821190, responses: 809173 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4562 res/sec 4495
[Conn 11] sent: 417.8 MB, received: 413.9 MB, requests: 815955, responses: 808387 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4533 res/sec 4491
[Conn 12] sent: 422.9 MB, received: 414.2 MB, requests: 825971, responses: 808949 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4588 res/sec 4494
[Conn 13] sent: 416.7 MB, received: 413.9 MB, requests: 813843, responses: 808451 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4521 res/sec 4491
[Conn 14] sent: 419.1 MB, received: 414.2 MB, requests: 818632, responses: 808918 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4547 res/sec 4493
[Conn 15] sent: 420.5 MB, received: 414.1 MB, requests: 821254, responses: 808758 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4562 res/sec 4493
[Conn 16] sent: 416.9 MB, received: 414.0 MB, requests: 814291, responses: 808579 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4523 res/sec 4492
[Conn 17] sent: 417.0 MB, received: 413.9 MB, requests: 814419, responses: 808387 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4524 res/sec 4491
[Conn 18] sent: 416.8 MB, received: 413.9 MB, requests: 813971, responses: 808387 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4522 res/sec 4491
[Conn 19] sent: 420.2 MB, received: 414.3 MB, requests: 820742, responses: 809238 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4559 res/sec 4495
[Conn 20] sent: 420.3 MB, received: 414.2 MB, requests: 820806, responses: 808918 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4560 res/sec 4493
[Conn 21] sent: 417.9 MB, received: 414.0 MB, requests: 816147, responses: 808531 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4534 res/sec 4491
[Conn 22] sent: 419.1 MB, received: 414.0 MB, requests: 818504, responses: 808518 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4547 res/sec 4491
[Conn 23] sent: 417.7 MB, received: 413.9 MB, requests: 815827, responses: 808387 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4532 res/sec 4491
[Conn 24] sent: 419.6 MB, received: 414.1 MB, requests: 819591, responses: 808854 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4553 res/sec 4493
[Conn 25] sent: 422.4 MB, received: 414.0 MB, requests: 824962, responses: 808582 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4583 res/sec 4492
[Conn 26] sent: 420.2 MB, received: 413.9 MB, requests: 820677, responses: 808387 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4559 res/sec 4491
[Conn 27] sent: 417.9 MB, received: 413.9 MB, requests: 816211, responses: 808323 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4534 res/sec 4490
[Conn 28] sent: 420.3 MB, received: 414.3 MB, requests: 820806, responses: 809157 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4560 res/sec 4495
[Conn 29] sent: 417.8 MB, received: 413.9 MB, requests: 816083, responses: 808323 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4533 res/sec 4490
[Conn 30] sent: 419.7 MB, received: 414.0 MB, requests: 819719, responses: 808598 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4553 res/sec 4492
[Conn 31] sent: 420.0 MB, received: 413.9 MB, requests: 820375, responses: 808355 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4557 res/sec 4490
[Conn 32] sent: 419.8 MB, received: 414.0 MB, requests: 819847, responses: 808614 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4554 res/sec 4492
[Conn 33] sent: 420.3 MB, received: 414.3 MB, requests: 820806, responses: 809173 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4560 res/sec 4495
[Conn 34] sent: 419.5 MB, received: 414.0 MB, requests: 819335, responses: 808598 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4551 res/sec 4492
[Conn 35] sent: 416.9 MB, received: 413.9 MB, requests: 814355, responses: 808387 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4524 res/sec 4491
[Conn 36] sent: 419.7 MB, received: 414.4 MB, requests: 819655, responses: 809301 sent/sec: 2.3 MB recv/sec 2.3 MB req/sec: 4553 res/sec 4496
