--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 512 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 344.0 MB, received: 340.1 MB, requests: 671955, responses: 664275 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3733 res/sec 3690
[Conn 2] sent: 344.3 MB, received: 340.4 MB, requests: 672405, responses: 664917 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 3] sent: 344.2 MB, received: 340.4 MB, requests: 672341, responses: 664789 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 4] sent: 344.3 MB, received: 340.4 MB, requests: 672405, responses: 664917 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 5] sent: 344.2 MB, received: 340.4 MB, requests: 672341, responses: 664853 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 6] sent: 344.0 MB, received: 340.1 MB, requests: 671955, responses: 664275 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3733 res/sec 3690
[Conn 7] sent: 344.2 MB, received: 340.4 MB, requests: 672341, responses: 664837 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 8] sent: 344.1 MB, received: 340.3 MB, requests: 672149, responses: 664597 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3734 res/sec 3692
[Conn 9] sent: 344.2 MB, received: 340.4 MB, requests: 672359, responses: 664807 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 10] sent: 344.0 MB, received: 340.1 MB, requests: 671955, responses: 664275 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3733 res/sec 3690
[Conn 11] sent: 344.3 MB, received: 340.4 MB, requests: 672405, responses: 664853 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 12] sent: 344.0 MB, received: 340.1 MB, requests: 671955, responses: 664275 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3733 res/sec 3690
[Conn 13] sent: 344.3 MB, received: 340.4 MB, requests: 672536, responses: 664856 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3736 res/sec 3693
[Conn 14] sent: 344.1 MB, received: 340.3 MB, requests: 672149, responses: 664597 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3734 res/sec 3692
[Conn 15] sent: 344.2 MB, received: 340.4 MB, requests: 672341, responses: 664789 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 16] sent: 344.3 MB, received: 340.4 MB, requests: 672405, responses: 664917 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 17] sent: 344.3 MB, received: 340.4 MB, requests: 672405, responses: 664853 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 18] sent: 344.0 MB, received: 340.1 MB, requests: 671955, responses: 664275 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3733 res/sec 3690
[Conn 19] sent: 344.2 MB, received: 340.5 MB, requests: 672341, responses: 664981 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3694
[Conn 20] sent: 344.0 MB, received: 340.1 MB, requests: 671955, responses: 664275 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3733 res/sec 3690
[Conn 21] sent: 344.2 MB, received: 340.4 MB, requests: 672341, responses: 664789 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
[Conn 22] sent: 344.3 MB, received: 340.4 MB, requests: 672405, responses: 664917 sent/sec: 1.9 MB recv/sec 1.9 MB req/sec: 3735 res/sec 3693
