--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 8.2 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 971.7 MB, received: 968.1 MB, requests: 118620, responses: 118179 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 659 res/sec 656
[Conn 2] sent: 975.5 MB, received: 968.1 MB, requests: 119077, responses: 118174 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 3] sent: 976.7 MB, received: 968.1 MB, requests: 119224, responses: 118179 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 662 res/sec 656
[Conn 4] sent: 974.0 MB, received: 968.2 MB, requests: 118893, responses: 118191 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 5] sent: 971.8 MB, received: 968.3 MB, requests: 118628, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 659 res/sec 656
[Conn 6] sent: 976.8 MB, received: 968.3 MB, requests: 119236, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 662 res/sec 656
[Conn 7] sent: 973.8 MB, received: 968.3 MB, requests: 118873, responses: 118196 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 8] sent: 971.7 MB, received: 968.3 MB, requests: 118612, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 9] sent: 971.7 MB, received: 968.1 MB, requests: 118620, responses: 118179 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 659 res/sec 656
[Conn 10] sent: 971.6 MB, received: 968.3 MB, requests: 118608, responses: 118195 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 11] sent: 974.0 MB, received: 968.3 MB, requests: 118901, responses: 118198 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 12] sent: 973.9 MB, received: 968.1 MB, requests: 118881, responses: 118177 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 13] sent: 975.9 MB, received: 968.3 MB, requests: 119125, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 14] sent: 976.0 MB, received: 968.1 MB, requests: 119143, responses: 118177 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 15] sent: 976.5 MB, received: 968.3 MB, requests: 119200, responses: 118195 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 662 res/sec 656
[Conn 16] sent: 973.8 MB, received: 968.3 MB, requests: 118873, responses: 118194 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 17] sent: 971.7 MB, received: 968.3 MB, requests: 118620, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 659 res/sec 656
[Conn 18] sent: 971.6 MB, received: 968.3 MB, requests: 118608, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 19] sent: 976.7 MB, received: 968.3 MB, requests: 119231, responses: 118194 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 662 res/sec 656
[Conn 20] sent: 971.7 MB, received: 968.3 MB, requests: 118616, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 21] sent: 974.1 MB, received: 968.3 MB, requests: 118913, responses: 118194 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 22] sent: 975.4 MB, received: 968.2 MB, requests: 119068, responses: 118191 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 23] sent: 974.4 MB, received: 968.3 MB, requests: 118941, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 24] sent: 976.8 MB, received: 968.3 MB, requests: 119240, responses: 118195 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 662 res/sec 656
[Conn 25] sent: 974.0 MB, received: 968.3 MB, requests: 118893, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 26] sent: 976.7 MB, received: 968.3 MB, requests: 119221, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 662 res/sec 656
[Conn 27] sent: 973.6 MB, received: 968.2 MB, requests: 118853, responses: 118192 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 28] sent: 974.8 MB, received: 968.3 MB, requests: 118996, responses: 118198 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 29] sent: 971.6 MB, received: 968.3 MB, requests: 118608, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 30] sent: 975.5 MB, received: 968.3 MB, requests: 119080, responses: 118195 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 31] sent: 971.6 MB, received: 968.3 MB, requests: 118608, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 32] sent: 971.8 MB, received: 968.3 MB, requests: 118624, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 659 res/sec 656
[Conn 33] sent: 973.9 MB, received: 968.1 MB, requests: 118885, responses: 118176 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 34] sent: 974.5 MB, received: 968.3 MB, requests: 118957, responses: 118198 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 35] sent: 975.8 MB, received: 968.3 MB, requests: 119120, responses: 118195 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 36] sent: 973.2 MB, received: 968.3 MB, requests: 118801, responses: 118194 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 37] sent: 971.7 MB, received: 968.3 MB, requests: 118612, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 38] sent: 973.9 MB, received: 968.3 MB, requests: 118889, responses: 118196 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 39] sent: 971.7 MB, received: 968.3 MB, requests: 118612, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 40] sent: 973.5 MB, received: 968.3 MB, requests: 118833, responses: 118196 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 41] sent: 973.3 MB, received: 968.3 MB, requests: 118813, responses: 118198 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 42] sent: 971.7 MB, received: 968.3 MB, requests: 118612, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 43] sent: 971.6 MB, received: 968.3 MB, requests: 118608, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
[Conn 44] sent: 973.3 MB, received: 968.2 MB, requests: 118805, responses: 118192 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 45] sent: 974.1 MB, received: 968.3 MB, requests: 118913, responses: 118194 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 46] sent: 974.9 MB, received: 968.3 MB, requests: 119005, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 47] sent: 974.3 MB, received: 968.3 MB, requests: 118933, responses: 118197 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 660 res/sec 656
[Conn 48] sent: 971.7 MB, received: 968.3 MB, requests: 118620, responses: 118203 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 659 res/sec 656
[Conn 49] sent: 975.9 MB, received: 968.3 MB, requests: 119132, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 661 res/sec 656
[Conn 50] sent: 971.7 MB, received: 968.3 MB, requests: 118612, responses: 118199 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 658 res/sec 656
