--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 32.8 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 39] sent: 1.2 GB, received: 1.2 GB, requests: 37646, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 40] sent: 1.2 GB, received: 1.2 GB, requests: 37648, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 41] sent: 1.2 GB, received: 1.2 GB, requests: 37634, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 42] sent: 1.2 GB, received: 1.2 GB, requests: 37658, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 43] sent: 1.2 GB, received: 1.2 GB, requests: 37645, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 44] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 45] sent: 1.2 GB, received: 1.2 GB, requests: 37660, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 46] sent: 1.2 GB, received: 1.2 GB, requests: 37660, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 47] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 48] sent: 1.2 GB, received: 1.2 GB, requests: 37679, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 49] sent: 1.2 GB, received: 1.2 GB, requests: 37651, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 50] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 51] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 52] sent: 1.2 GB, received: 1.2 GB, requests: 37648, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 53] sent: 1.2 GB, received: 1.2 GB, requests: 37660, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 54] sent: 1.2 GB, received: 1.2 GB, requests: 37649, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 55] sent: 1.2 GB, received: 1.2 GB, requests: 37651, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 56] sent: 1.2 GB, received: 1.2 GB, requests: 37649, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 57] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 58] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 59] sent: 1.2 GB, received: 1.2 GB, requests: 37649, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 60] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 61] sent: 1.2 GB, received: 1.2 GB, requests: 37637, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 62] sent: 1.2 GB, received: 1.2 GB, requests: 37643, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 63] sent: 1.2 GB, received: 1.2 GB, requests: 37662, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 64] sent: 1.2 GB, received: 1.2 GB, requests: 37665, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 65] sent: 1.2 GB, received: 1.2 GB, requests: 37662, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 66] sent: 1.2 GB, received: 1.2 GB, requests: 37646, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 67] sent: 1.2 GB, received: 1.2 GB, requests: 37648, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 68] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 69] sent: 1.2 GB, received: 1.2 GB, requests: 37638, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 70] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 71] sent: 1.2 GB, received: 1.2 GB, requests: 37646, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 72] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 73] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 74] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 75] sent: 1.2 GB, received: 1.2 GB, requests: 37655, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 76] sent: 1.2 GB, received: 1.2 GB, requests: 37645, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 77] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 78] sent: 1.2 GB, received: 1.2 GB, requests: 37643, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 79] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 80] sent: 1.2 GB, received: 1.2 GB, requests: 37649, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 81] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 82] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
