--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 8.2 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 495.6 MB, received: 492.4 MB, requests: 60492, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
[Conn 2] sent: 500.9 MB, received: 492.4 MB, requests: 61143, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 339 res/sec 333
[Conn 3] sent: 495.5 MB, received: 492.4 MB, requests: 60484, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
[Conn 4] sent: 500.0 MB, received: 492.3 MB, requests: 61033, responses: 60099 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 339 res/sec 333
[Conn 5] sent: 497.7 MB, received: 492.3 MB, requests: 60756, responses: 60095 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 6] sent: 501.0 MB, received: 492.4 MB, requests: 61163, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 339 res/sec 333
[Conn 7] sent: 498.7 MB, received: 492.4 MB, requests: 60876, responses: 60101 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 338 res/sec 333
[Conn 8] sent: 498.6 MB, received: 492.4 MB, requests: 60860, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 338 res/sec 333
[Conn 9] sent: 500.3 MB, received: 492.4 MB, requests: 61073, responses: 60107 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 339 res/sec 333
[Conn 10] sent: 498.0 MB, received: 492.3 MB, requests: 60788, responses: 60094 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 11] sent: 495.5 MB, received: 492.3 MB, requests: 60484, responses: 60099 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
[Conn 12] sent: 495.5 MB, received: 492.4 MB, requests: 60484, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
[Conn 13] sent: 495.5 MB, received: 492.3 MB, requests: 60488, responses: 60099 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
[Conn 14] sent: 498.2 MB, received: 492.3 MB, requests: 60812, responses: 60093 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 15] sent: 497.5 MB, received: 492.3 MB, requests: 60728, responses: 60098 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 16] sent: 497.2 MB, received: 492.4 MB, requests: 60692, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 17] sent: 495.5 MB, received: 492.4 MB, requests: 60488, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
[Conn 18] sent: 497.2 MB, received: 492.3 MB, requests: 60692, responses: 60096 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 19] sent: 499.8 MB, received: 492.4 MB, requests: 61014, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 338 res/sec 333
[Conn 20] sent: 501.1 MB, received: 492.4 MB, requests: 61171, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 339 res/sec 333
[Conn 21] sent: 499.9 MB, received: 492.3 MB, requests: 61026, responses: 60099 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 339 res/sec 333
[Conn 22] sent: 498.5 MB, received: 492.3 MB, requests: 60848, responses: 60098 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 338 res/sec 333
[Conn 23] sent: 498.2 MB, received: 492.3 MB, requests: 60820, responses: 60095 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 24] sent: 495.5 MB, received: 492.4 MB, requests: 60488, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
[Conn 25] sent: 497.7 MB, received: 492.3 MB, requests: 60756, responses: 60093 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 26] sent: 499.8 MB, received: 492.4 MB, requests: 61011, responses: 60103 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 338 res/sec 333
[Conn 27] sent: 497.5 MB, received: 492.3 MB, requests: 60724, responses: 60095 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 337 res/sec 333
[Conn 28] sent: 495.5 MB, received: 492.4 MB, requests: 60484, responses: 60111 sent/sec: 2.8 MB recv/sec 2.7 MB req/sec: 336 res/sec 333
