--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 32.8 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 39] sent: 796.6 MB, received: 788.2 MB, requests: 24310, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 40] sent: 796.1 MB, received: 788.2 MB, requests: 24296, responses: 24052 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 41] sent: 796.5 MB, received: 788.2 MB, requests: 24308, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 42] sent: 795.5 MB, received: 787.7 MB, requests: 24276, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 43] sent: 796.1 MB, received: 788.2 MB, requests: 24294, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 44] sent: 796.0 MB, received: 788.2 MB, requests: 24293, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 45] sent: 795.6 MB, received: 787.7 MB, requests: 24279, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 46] sent: 796.7 MB, received: 788.2 MB, requests: 24313, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 47] sent: 796.2 MB, received: 788.2 MB, requests: 24297, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 48] sent: 796.0 MB, received: 788.2 MB, requests: 24292, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 49] sent: 796.3 MB, received: 788.2 MB, requests: 24301, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 50] sent: 796.6 MB, received: 788.2 MB, requests: 24310, responses: 24052 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 51] sent: 796.2 MB, received: 788.2 MB, requests: 24298, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 52] sent: 795.6 MB, received: 787.7 MB, requests: 24281, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 53] sent: 796.4 MB, received: 788.2 MB, requests: 24305, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 54] sent: 796.6 MB, received: 788.2 MB, requests: 24310, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 55] sent: 796.5 MB, received: 788.2 MB, requests: 24308, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 56] sent: 796.2 MB, received: 788.2 MB, requests: 24298, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 57] sent: 796.0 MB, received: 788.2 MB, requests: 24292, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 58] sent: 796.1 MB, received: 788.2 MB, requests: 24296, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 59] sent: 796.1 MB, received: 788.2 MB, requests: 24296, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 60] sent: 796.2 MB, received: 788.2 MB, requests: 24299, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 61] sent: 796.7 MB, received: 788.2 MB, requests: 24314, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 62] sent: 796.7 MB, received: 788.2 MB, requests: 24312, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 63] sent: 796.7 MB, received: 788.2 MB, requests: 24312, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 64] sent: 796.0 MB, received: 788.2 MB, requests: 24292, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 65] sent: 796.5 MB, received: 788.2 MB, requests: 24308, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 66] sent: 796.5 MB, received: 788.7 MB, requests: 24308, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 67] sent: 796.6 MB, received: 788.2 MB, requests: 24310, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 68] sent: 797.0 MB, received: 788.2 MB, requests: 24321, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 69] sent: 796.3 MB, received: 788.2 MB, requests: 24301, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 70] sent: 796.3 MB, received: 788.2 MB, requests: 24301, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 71] sent: 796.8 MB, received: 788.2 MB, requests: 24316, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 72] sent: 796.1 MB, received: 788.2 MB, requests: 24296, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 73] sent: 796.1 MB, received: 788.2 MB, requests: 24294, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 74] sent: 796.7 MB, received: 788.2 MB, requests: 24314, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 75] sent: 796.5 MB, received: 788.2 MB, requests: 24306, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 76] sent: 796.0 MB, received: 788.2 MB, requests: 24293, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 77] sent: 797.3 MB, received: 788.7 MB, requests: 24333, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 78] sent: 796.0 MB, received: 788.2 MB, requests: 24293, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 79] sent: 797.2 MB, received: 788.7 MB, requests: 24328, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 80] sent: 796.7 MB, received: 788.2 MB, requests: 24314, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 81] sent: 796.4 MB, received: 788.1 MB, requests: 24304, responses: 24049 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 82] sent: 796.8 MB, received: 788.2 MB, requests: 24315, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 83] sent: 796.7 MB, received: 788.2 MB, requests: 24313, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 84] sent: 796.8 MB, received: 788.2 MB, requests: 24317, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 85] sent: 796.7 MB, received: 788.2 MB, requests: 24314, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 86] sent: 796.9 MB, received: 788.2 MB, requests: 24320, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 87] sent: 797.3 MB, received: 788.7 MB, requests: 24333, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 88] sent: 796.6 MB, received: 788.2 MB, requests: 24311, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 89] sent: 796.2 MB, received: 788.2 MB, requests: 24299, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 90] sent: 796.8 MB, received: 788.2 MB, requests: 24315, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 91] sent: 796.2 MB, received: 788.2 MB, requests: 24298, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 92] sent: 796.4 MB, received: 788.2 MB, requests: 24304, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 93] sent: 796.0 MB, received: 787.7 MB, requests: 24293, responses: 24038 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 94] sent: 796.3 MB, received: 788.2 MB, requests: 24300, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 95] sent: 796.8 MB, received: 788.2 MB, requests: 24315, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 96] sent: 797.3 MB, received: 788.7 MB, requests: 24332, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 97] sent: 796.7 MB, received: 788.2 MB, requests: 24312, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 98] sent: 796.9 MB, received: 788.2 MB, requests: 24319, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 99] sent: 796.2 MB, received: 788.2 MB, requests: 24299, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 100] sent: 796.1 MB, received: 788.2 MB, requests: 24295, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 101] sent: 796.9 MB, received: 788.2 MB, requests: 24318, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 102] sent: 796.1 MB, received: 788.2 MB, requests: 24296, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 103] sent: 796.7 MB, received: 788.2 MB, requests: 24312, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 104] sent: 796.6 MB, received: 788.2 MB, requests: 24310, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 105] sent: 796.8 MB, received: 788.7 MB, requests: 24315, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 106] sent: 796.8 MB, received: 788.7 MB, requests: 24316, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 107] sent: 796.6 MB, received: 788.2 MB, requests: 24310, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 108] sent: 797.6 MB, received: 788.7 MB, requests: 24342, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 109] sent: 796.5 MB, received: 788.2 MB, requests: 24308, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 110] sent: 796.6 MB, received: 788.7 MB, requests: 24310, responses: 24067 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 111] sent: 796.2 MB, received: 788.2 MB, requests: 24298, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 112] sent: 796.4 MB, received: 788.2 MB, requests: 24305, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 113] sent: 796.2 MB, received: 788.2 MB, requests: 24297, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 114] sent: 796.7 MB, received: 788.2 MB, requests: 24312, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 115] sent: 796.7 MB, received: 788.7 MB, requests: 24313, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 116] sent: 796.7 MB, received: 788.2 MB, requests: 24313, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 117] sent: 796.8 MB, received: 788.7 MB, requests: 24316, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 118] sent: 797.3 MB, received: 788.7 MB, requests: 24333, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 119] sent: 797.3 MB, received: 788.7 MB, requests: 24332, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 120] sent: 796.0 MB, received: 788.2 MB, requests: 24292, responses: 24054 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
[Conn 121] sent: 797.8 MB, received: 788.7 MB, requests: 24347, responses: 24069 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 135 res/sec 133
[Conn 122] sent: 796.2 MB, received: 788.2 MB, requests: 24299, responses: 24053 sent/sec: 4.4 MB recv/sec 4.4 MB req/sec: 134 res/sec 133
