--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 617.4 MB, received: 614.6 MB, requests: 2411820, responses: 2400652 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13399 res/sec 13336
[Conn 2] sent: 618.3 MB, received: 614.3 MB, requests: 2415287, responses: 2399737 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13418 res/sec 13331
[Conn 3] sent: 617.7 MB, received: 614.6 MB, requests: 2413081, responses: 2400633 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13406 res/sec 13336
[Conn 4] sent: 616.9 MB, received: 613.8 MB, requests: 2409724, responses: 2397660 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13387 res/sec 13320
[Conn 5] sent: 617.6 MB, received: 614.6 MB, requests: 2412569, responses: 2400633 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13403 res/sec 13336
[Conn 6] sent: 618.4 MB, received: 614.7 MB, requests: 2415513, responses: 2401017 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13419 res/sec 13338
[Conn 7] sent: 618.2 MB, received: 614.2 MB, requests: 2414961, responses: 2399353 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13416 res/sec 13329
[Conn 8] sent: 619.7 MB, received: 614.6 MB, requests: 2420607, responses: 2400913 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13447 res/sec 13338
[Conn 9] sent: 617.6 MB, received: 614.6 MB, requests: 2412569, responses: 2400633 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13403 res/sec 13336
[Conn 10] sent: 617.7 MB, received: 614.8 MB, requests: 2413016, responses: 2401464 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13405 res/sec 13341
[Conn 11] sent: 618.6 MB, received: 614.6 MB, requests: 2416409, responses: 2400665 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13424 res/sec 13337
[Conn 12] sent: 618.8 MB, received: 614.6 MB, requests: 2417104, responses: 2400944 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13428 res/sec 13338
[Conn 13] sent: 618.6 MB, received: 614.7 MB, requests: 2416409, responses: 2401145 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13424 res/sec 13339
[Conn 14] sent: 617.3 MB, received: 614.4 MB, requests: 2411417, responses: 2399993 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13396 res/sec 13333
[Conn 15] sent: 617.6 MB, received: 614.6 MB, requests: 2412313, responses: 2400665 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13401 res/sec 13337
[Conn 16] sent: 618.4 MB, received: 614.7 MB, requests: 2415641, responses: 2401273 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13420 res/sec 13340
[Conn 17] sent: 617.8 MB, received: 614.7 MB, requests: 2413337, responses: 2401017 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13407 res/sec 13338
[Conn 18] sent: 618.0 MB, received: 614.4 MB, requests: 2414105, responses: 2400153 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13411 res/sec 13334
[Conn 19] sent: 617.6 MB, received: 614.4 MB, requests: 2412569, responses: 2399993 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13403 res/sec 13333
[Conn 20] sent: 618.3 MB, received: 614.6 MB, requests: 2415231, responses: 2400735 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13417 res/sec 13337
[Conn 21] sent: 618.3 MB, received: 614.7 MB, requests: 2415257, responses: 2401273 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13418 res/sec 13340
[Conn 22] sent: 618.5 MB, received: 614.7 MB, requests: 2416025, responses: 2401017 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13422 res/sec 13338
[Conn 23] sent: 618.3 MB, received: 614.3 MB, requests: 2415130, responses: 2399642 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13417 res/sec 13331
[Conn 24] sent: 618.5 MB, received: 614.6 MB, requests: 2416153, responses: 2400761 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13423 res/sec 13337
[Conn 25] sent: 617.9 MB, received: 614.4 MB, requests: 2413721, responses: 2399993 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13409 res/sec 13333
[Conn 26] sent: 616.5 MB, received: 612.9 MB, requests: 2408089, responses: 2393977 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13378 res/sec 13299
[Conn 27] sent: 618.3 MB, received: 614.3 MB, requests: 2415312, responses: 2399568 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13418 res/sec 13330
[Conn 28] sent: 618.4 MB, received: 614.7 MB, requests: 2415641, responses: 2401049 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13420 res/sec 13339
[Conn 29] sent: 618.3 MB, received: 615.0 MB, requests: 2415217, responses: 2402513 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13417 res/sec 13347
[Conn 30] sent: 618.4 MB, received: 614.6 MB, requests: 2415769, responses: 2400761 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13420 res/sec 13337
[Conn 31] sent: 617.2 MB, received: 614.3 MB, requests: 2410777, responses: 2399641 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13393 res/sec 13331
[Conn 32] sent: 618.6 MB, received: 614.7 MB, requests: 2416281, responses: 2401305 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13423 res/sec 13340
[Conn 33] sent: 618.2 MB, received: 614.5 MB, requests: 2414826, responses: 2400202 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13415 res/sec 13334
[Conn 34] sent: 618.2 MB, received: 614.7 MB, requests: 2415001, responses: 2401049 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13416 res/sec 13339
[Conn 35] sent: 616.1 MB, received: 612.5 MB, requests: 2406553, responses: 2392697 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13369 res/sec 13292
[Conn 36] sent: 618.6 MB, received: 615.1 MB, requests: 2416409, responses: 2402553 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13424 res/sec 13347
[Conn 37] sent: 618.7 MB, received: 615.1 MB, requests: 2416793, responses: 2402681 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13426 res/sec 13348
[Conn 38] sent: 617.4 MB, received: 614.6 MB, requests: 2411673, responses: 2400793 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13398 res/sec 13337
[Conn 39] sent: 620.6 MB, received: 614.3 MB, requests: 2424311, responses: 2399506 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13468 res/sec 13330
[Conn 40] sent: 618.4 MB, received: 614.8 MB, requests: 2415641, responses: 2401401 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13420 res/sec 13341
[Conn 41] sent: 618.4 MB, received: 614.5 MB, requests: 2415696, responses: 2400208 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13420 res/sec 13334
[Conn 42] sent: 620.1 MB, received: 614.6 MB, requests: 2422417, responses: 2400936 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13457 res/sec 13338
[Conn 43] sent: 618.5 MB, received: 615.1 MB, requests: 2415897, responses: 2402553 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13421 res/sec 13347
[Conn 44] sent: 616.5 MB, received: 613.4 MB, requests: 2408345, responses: 2396025 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13379 res/sec 13311
[Conn 45] sent: 617.7 MB, received: 614.6 MB, requests: 2412825, responses: 2400793 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13404 res/sec 13337
[Conn 46] sent: 618.8 MB, received: 615.1 MB, requests: 2417305, responses: 2402681 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13429 res/sec 13348
[Conn 47] sent: 616.7 MB, received: 613.2 MB, requests: 2409113, responses: 2395257 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13383 res/sec 13306
[Conn 48] sent: 618.3 MB, received: 614.8 MB, requests: 2415257, responses: 2401401 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13418 res/sec 13341
[Conn 49] sent: 618.4 MB, received: 614.5 MB, requests: 2415641, responses: 2400281 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13420 res/sec 13334
[Conn 50] sent: 617.7 MB, received: 614.7 MB, requests: 2412844, responses: 2401036 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13404 res/sec 13339
[Conn 51] sent: 618.7 MB, received: 615.1 MB, requests: 2416921, responses: 2402585 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13427 res/sec 13347
[Conn 52] sent: 620.1 MB, received: 613.4 MB, requests: 2422402, responses: 2396095 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13457 res/sec 13311
[Conn 53] sent: 617.4 MB, received: 614.6 MB, requests: 2411673, responses: 2400633 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13398 res/sec 13336
[Conn 54] sent: 620.1 MB, received: 616.1 MB, requests: 2422287, responses: 2406799 sent/sec: 3.4 MB recv/sec 3.4 MB req/sec: 13457 res/sec 13371
