--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 32.8 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 1.2 GB, received: 1.2 GB, requests: 35982, responses: 35981 sent/sec: 6.6 MB recv/sec 6.6 MB req/sec: 199 res/sec 199 avg-res-time: 5.002555ms
[Conn 2] sent: 1.2 GB, received: 1.2 GB, requests: 35974, responses: 35973 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001355ms
[Conn 3] sent: 1.2 GB, received: 1.2 GB, requests: 35968, responses: 35967 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001252ms
[Conn 4] sent: 1.2 GB, received: 1.2 GB, requests: 35976, responses: 35975 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001687ms
[Conn 5] sent: 1.2 GB, received: 1.2 GB, requests: 35968, responses: 35967 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001222ms
[Conn 6] sent: 1.2 GB, received: 1.2 GB, requests: 35976, responses: 35975 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001688ms
[Conn 7] sent: 1.2 GB, received: 1.2 GB, requests: 35968, responses: 35967 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001252ms
[Conn 8] sent: 1.2 GB, received: 1.2 GB, requests: 35968, responses: 35967 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001241ms
[Conn 9] sent: 1.2 GB, received: 1.2 GB, requests: 35976, responses: 35975 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001682ms
[Conn 10] sent: 1.2 GB, received: 1.2 GB, requests: 35968, responses: 35967 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001187ms
[Conn 11] sent: 1.2 GB, received: 1.2 GB, requests: 35976, responses: 35975 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.00169ms
[Conn 12] sent: 1.2 GB, received: 1.2 GB, requests: 35968, responses: 35967 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001238ms
[Conn 13] sent: 1.2 GB, received: 1.2 GB, requests: 35974, responses: 35973 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001373ms
[Conn 14] sent: 1.2 GB, received: 1.2 GB, requests: 35974, responses: 35973 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001379ms
[Conn 15] sent: 1.2 GB, received: 1.2 GB, requests: 35974, responses: 35973 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001364ms
[Conn 16] sent: 1.2 GB, received: 1.2 GB, requests: 35974, responses: 35973 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001374ms
[Conn 17] sent: 1.2 GB, received: 1.2 GB, requests: 35976, responses: 35975 sent/sec: 6.5 MB recv/sec 6.5 MB req/sec: 199 res/sec 199 avg-res-time: 5.001688ms
