--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 1.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 930.2 MB, received: 926.7 MB, requests: 908438, responses: 905006 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5046 res/sec 5027
[Conn 2] sent: 929.9 MB, received: 926.8 MB, requests: 908118, responses: 905070 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5045 res/sec 5028
[Conn 3] sent: 930.6 MB, received: 926.7 MB, requests: 908758, responses: 904982 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5048 res/sec 5027
[Conn 4] sent: 931.8 MB, received: 926.7 MB, requests: 910006, responses: 904990 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5055 res/sec 5027
[Conn 5] sent: 933.2 MB, received: 926.9 MB, requests: 911321, responses: 905137 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5062 res/sec 5028
[Conn 6] sent: 931.8 MB, received: 926.8 MB, requests: 909977, responses: 905080 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5055 res/sec 5028
[Conn 7] sent: 931.5 MB, received: 926.7 MB, requests: 909706, responses: 905006 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5053 res/sec 5027
[Conn 8] sent: 930.3 MB, received: 926.7 MB, requests: 908470, responses: 905006 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5047 res/sec 5027
[Conn 9] sent: 930.3 MB, received: 926.8 MB, requests: 908502, responses: 905102 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5047 res/sec 5028
[Conn 10] sent: 930.9 MB, received: 926.8 MB, requests: 909110, responses: 905102 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5050 res/sec 5028
[Conn 11] sent: 934.5 MB, received: 926.9 MB, requests: 912630, responses: 905216 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5070 res/sec 5028
[Conn 12] sent: 931.8 MB, received: 926.7 MB, requests: 909922, responses: 904982 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5055 res/sec 5027
[Conn 13] sent: 930.1 MB, received: 926.8 MB, requests: 908342, responses: 905102 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5046 res/sec 5028
[Conn 14] sent: 933.0 MB, received: 926.8 MB, requests: 911160, responses: 905088 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5062 res/sec 5028
[Conn 15] sent: 931.7 MB, received: 926.7 MB, requests: 909857, responses: 904998 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5054 res/sec 5027
[Conn 16] sent: 931.8 MB, received: 926.8 MB, requests: 909977, responses: 905097 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5055 res/sec 5028
[Conn 17] sent: 932.8 MB, received: 926.8 MB, requests: 910968, responses: 905088 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5060 res/sec 5028
[Conn 18] sent: 934.1 MB, received: 926.9 MB, requests: 912164, responses: 905200 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5067 res/sec 5028
[Conn 19] sent: 932.6 MB, received: 926.9 MB, requests: 910712, responses: 905216 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5059 res/sec 5028
[Conn 20] sent: 934.5 MB, received: 926.8 MB, requests: 912577, responses: 905105 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5069 res/sec 5028
[Conn 21] sent: 932.5 MB, received: 926.7 MB, requests: 910616, responses: 904992 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5058 res/sec 5027
[Conn 22] sent: 930.3 MB, received: 926.7 MB, requests: 908470, responses: 904982 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5047 res/sec 5027
[Conn 23] sent: 935.3 MB, received: 926.9 MB, requests: 913418, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5074 res/sec 5028
[Conn 24] sent: 929.9 MB, received: 926.7 MB, requests: 908150, responses: 905006 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5045 res/sec 5027
[Conn 25] sent: 930.2 MB, received: 926.7 MB, requests: 908438, responses: 905006 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5046 res/sec 5027
[Conn 26] sent: 934.9 MB, received: 927.0 MB, requests: 912966, responses: 905296 sent/sec: 5.2 MB recv/sec 5.2 MB req/sec: 5072 res/sec 5029
[Conn 27] sent: 930.5 MB, received: 926.7 MB, requests: 908694, responses: 905014 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5048 res/sec 5027
[Conn 28] sent: 932.6 MB, received: 926.8 MB, requests: 910777, responses: 905089 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5059 res/sec 5028
[Conn 29] sent: 935.0 MB, received: 926.9 MB, requests: 913123, responses: 905200 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5072 res/sec 5028
[Conn 30] sent: 932.2 MB, received: 926.7 MB, requests: 910373, responses: 905014 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5057 res/sec 5027
[Conn 31] sent: 934.9 MB, received: 926.9 MB, requests: 913027, responses: 905168 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5072 res/sec 5028
[Conn 32] sent: 934.1 MB, received: 926.8 MB, requests: 912250, responses: 905104 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5068 res/sec 5028
[Conn 33] sent: 935.0 MB, received: 926.9 MB, requests: 913100, responses: 905128 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5072 res/sec 5028
[Conn 34] sent: 932.5 MB, received: 926.8 MB, requests: 910689, responses: 905030 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5059 res/sec 5027
[Conn 35] sent: 935.1 MB, received: 926.9 MB, requests: 913207, responses: 905168 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5073 res/sec 5028
[Conn 36] sent: 934.3 MB, received: 926.8 MB, requests: 912383, responses: 905104 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5068 res/sec 5028
[Conn 37] sent: 935.0 MB, received: 926.9 MB, requests: 913114, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5072 res/sec 5028
[Conn 38] sent: 935.0 MB, received: 926.9 MB, requests: 913129, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5072 res/sec 5028
[Conn 39] sent: 934.7 MB, received: 926.9 MB, requests: 912805, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5071 res/sec 5028
[Conn 40] sent: 935.1 MB, received: 926.9 MB, requests: 913186, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5073 res/sec 5028
[Conn 41] sent: 934.8 MB, received: 926.9 MB, requests: 912867, responses: 905200 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5071 res/sec 5028
[Conn 42] sent: 932.6 MB, received: 926.7 MB, requests: 910732, responses: 905006 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5059 res/sec 5027
[Conn 43] sent: 935.1 MB, received: 926.9 MB, requests: 913177, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5073 res/sec 5028
[Conn 44] sent: 935.1 MB, received: 926.9 MB, requests: 913209, responses: 905168 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5073 res/sec 5028
[Conn 45] sent: 934.3 MB, received: 926.9 MB, requests: 912411, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5068 res/sec 5028
[Conn 46] sent: 934.7 MB, received: 926.9 MB, requests: 912793, responses: 905128 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5071 res/sec 5028
[Conn 47] sent: 934.0 MB, received: 926.9 MB, requests: 912132, responses: 905169 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5067 res/sec 5028
[Conn 48] sent: 934.6 MB, received: 926.9 MB, requests: 912739, responses: 905200 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5070 res/sec 5028
[Conn 49] sent: 934.1 MB, received: 926.8 MB, requests: 912178, responses: 905104 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5067 res/sec 5028
[Conn 50] sent: 934.3 MB, received: 926.9 MB, requests: 912409, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5068 res/sec 5028
[Conn 51] sent: 935.3 MB, received: 926.9 MB, requests: 913381, responses: 905201 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5074 res/sec 5028
[Conn 52] sent: 934.7 MB, received: 926.9 MB, requests: 912824, responses: 905169 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5071 res/sec 5028
[Conn 53] sent: 929.8 MB, received: 926.7 MB, requests: 908054, responses: 905006 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5044 res/sec 5027
[Conn 54] sent: 935.5 MB, received: 926.8 MB, requests: 913529, responses: 905104 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5075 res/sec 5028
[Conn 55] sent: 934.7 MB, received: 926.9 MB, requests: 912787, responses: 905201 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5071 res/sec 5028
[Conn 56] sent: 934.7 MB, received: 926.9 MB, requests: 912793, responses: 905136 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5071 res/sec 5028
[Conn 57] sent: 934.5 MB, received: 926.9 MB, requests: 912611, responses: 905200 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5070 res/sec 5028
[Conn 58] sent: 935.1 MB, received: 926.9 MB, requests: 913209, responses: 905168 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5073 res/sec 5028
[Conn 59] sent: 935.7 MB, received: 927.0 MB, requests: 913777, responses: 905280 sent/sec: 5.2 MB recv/sec 5.2 MB req/sec: 5076 res/sec 5029
[Conn 60] sent: 935.4 MB, received: 926.9 MB, requests: 913501, responses: 905201 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5075 res/sec 5028
[Conn 61] sent: 935.1 MB, received: 926.8 MB, requests: 913232, responses: 905121 sent/sec: 5.2 MB recv/sec 5.1 MB req/sec: 5073 res/sec 5028
