--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 1.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 2] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 3] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 4] sent: 719.8 MB, received: 716.6 MB, requests: 702918, responses: 699774 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 5] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 6] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699766 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 7] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 8] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 9] sent: 719.9 MB, received: 716.7 MB, requests: 703063, responses: 699919 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 10] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699766 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 11] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 12] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 13] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699766 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 14] sent: 722.9 MB, received: 716.6 MB, requests: 705983, responses: 699848 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3922 res/sec 3888
[Conn 15] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 16] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 17] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699830 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 18] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699766 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 19] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699766 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 20] sent: 722.4 MB, received: 716.7 MB, requests: 705504, responses: 699880 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3919 res/sec 3888
[Conn 21] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 22] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699830 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 23] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699766 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 24] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 25] sent: 722.9 MB, received: 716.7 MB, requests: 705951, responses: 699880 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3921 res/sec 3888
[Conn 26] sent: 722.8 MB, received: 716.7 MB, requests: 705887, responses: 699880 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3921 res/sec 3888
[Conn 27] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699766 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 28] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 29] sent: 722.5 MB, received: 716.6 MB, requests: 705536, responses: 699848 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3919 res/sec 3888
[Conn 30] sent: 723.0 MB, received: 716.6 MB, requests: 706079, responses: 699816 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3922 res/sec 3887
[Conn 31] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 32] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 33] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699790 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 34] sent: 719.8 MB, received: 716.6 MB, requests: 702902, responses: 699758 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 35] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 36] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699830 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 37] sent: 719.8 MB, received: 716.7 MB, requests: 702934, responses: 699854 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3888
[Conn 38] sent: 723.3 MB, received: 716.6 MB, requests: 706348, responses: 699829 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3924 res/sec 3887
[Conn 39] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699822 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 40] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699830 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
[Conn 41] sent: 722.8 MB, received: 716.7 MB, requests: 705823, responses: 699880 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3921 res/sec 3888
[Conn 42] sent: 719.8 MB, received: 716.6 MB, requests: 702934, responses: 699830 sent/sec: 4.0 MB recv/sec 4.0 MB req/sec: 3905 res/sec 3887
