--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 4.1 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 39] sent: 23.6 MB, received: 23.6 MB, requests: 5755, responses: 5751 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 40] sent: 23.7 MB, received: 23.7 MB, requests: 5782, responses: 5777 sent/sec: 131.6 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 41] sent: 23.7 MB, received: 23.6 MB, requests: 5777, responses: 5773 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 42] sent: 23.6 MB, received: 23.6 MB, requests: 5755, responses: 5752 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 43] sent: 23.6 MB, received: 23.6 MB, requests: 5770, responses: 5765 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 44] sent: 23.7 MB, received: 23.6 MB, requests: 5775, responses: 5771 sent/sec: 131.4 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 45] sent: 23.6 MB, received: 23.6 MB, requests: 5766, responses: 5763 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 46] sent: 23.8 MB, received: 23.8 MB, requests: 5811, responses: 5806 sent/sec: 132.2 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 47] sent: 23.5 MB, received: 23.5 MB, requests: 5732, responses: 5729 sent/sec: 130.4 kB recv/sec 130.4 kB req/sec: 31 res/sec 31
[Conn 48] sent: 23.3 MB, received: 23.3 MB, requests: 5699, responses: 5694 sent/sec: 129.7 kB recv/sec 129.6 kB req/sec: 31 res/sec 31
[Conn 49] sent: 23.6 MB, received: 23.6 MB, requests: 5769, responses: 5764 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 50] sent: 23.3 MB, received: 23.3 MB, requests: 5696, responses: 5690 sent/sec: 129.6 kB recv/sec 129.5 kB req/sec: 31 res/sec 31
[Conn 51] sent: 23.8 MB, received: 23.7 MB, requests: 5799, responses: 5795 sent/sec: 132.0 kB recv/sec 131.9 kB req/sec: 32 res/sec 32
[Conn 52] sent: 23.6 MB, received: 23.6 MB, requests: 5772, responses: 5767 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 53] sent: 23.5 MB, received: 23.5 MB, requests: 5737, responses: 5733 sent/sec: 130.5 kB recv/sec 130.5 kB req/sec: 31 res/sec 31
[Conn 54] sent: 23.6 MB, received: 23.6 MB, requests: 5773, responses: 5768 sent/sec: 131.4 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 55] sent: 23.5 MB, received: 23.5 MB, requests: 5736, responses: 5733 sent/sec: 130.5 kB recv/sec 130.5 kB req/sec: 31 res/sec 31
[Conn 56] sent: 23.7 MB, received: 23.7 MB, requests: 5781, responses: 5776 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 57] sent: 23.7 MB, received: 23.7 MB, requests: 5785, responses: 5780 sent/sec: 131.6 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 58] sent: 23.6 MB, received: 23.5 MB, requests: 5752, responses: 5747 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 59] sent: 23.6 MB, received: 23.5 MB, requests: 5750, responses: 5745 sent/sec: 130.8 kB recv/sec 130.7 kB req/sec: 31 res/sec 31
[Conn 60] sent: 23.9 MB, received: 23.9 MB, requests: 5839, responses: 5834 sent/sec: 132.9 kB recv/sec 132.8 kB req/sec: 32 res/sec 32
[Conn 61] sent: 23.5 MB, received: 23.5 MB, requests: 5748, responses: 5743 sent/sec: 130.8 kB recv/sec 130.7 kB req/sec: 31 res/sec 31
[Conn 62] sent: 23.7 MB, received: 23.6 MB, requests: 5775, responses: 5770 sent/sec: 131.4 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 63] sent: 23.6 MB, received: 23.6 MB, requests: 5754, responses: 5750 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 64] sent: 23.5 MB, received: 23.5 MB, requests: 5730, responses: 5726 sent/sec: 130.4 kB recv/sec 130.3 kB req/sec: 31 res/sec 31
[Conn 65] sent: 23.7 MB, received: 23.7 MB, requests: 5783, responses: 5780 sent/sec: 131.6 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 66] sent: 23.6 MB, received: 23.6 MB, requests: 5768, responses: 5763 sent/sec: 131.3 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 67] sent: 23.8 MB, received: 23.7 MB, requests: 5799, responses: 5794 sent/sec: 132.0 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 68] sent: 23.7 MB, received: 23.7 MB, requests: 5793, responses: 5788 sent/sec: 131.8 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 69] sent: 23.5 MB, received: 23.5 MB, requests: 5746, responses: 5741 sent/sec: 130.8 kB recv/sec 130.6 kB req/sec: 31 res/sec 31
[Conn 70] sent: 23.8 MB, received: 23.8 MB, requests: 5809, responses: 5805 sent/sec: 132.2 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 71] sent: 23.5 MB, received: 23.5 MB, requests: 5743, responses: 5739 sent/sec: 130.7 kB recv/sec 130.6 kB req/sec: 31 res/sec 31
[Conn 72] sent: 23.8 MB, received: 23.8 MB, requests: 5811, responses: 5807 sent/sec: 132.2 kB recv/sec 132.1 kB req/sec: 32 res/sec 32
[Conn 73] sent: 23.4 MB, received: 23.4 MB, requests: 5712, responses: 5707 sent/sec: 130.0 kB recv/sec 129.9 kB req/sec: 31 res/sec 31
[Conn 74] sent: 23.6 MB, received: 23.6 MB, requests: 5766, responses: 5761 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 75] sent: 23.6 MB, received: 23.6 MB, requests: 5765, responses: 5760 sent/sec: 131.2 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 76] sent: 23.7 MB, received: 23.7 MB, requests: 5798, responses: 5792 sent/sec: 131.9 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 77] sent: 23.6 MB, received: 23.6 MB, requests: 5761, responses: 5756 sent/sec: 131.1 kB recv/sec 131.0 kB req/sec: 32 res/sec 31
[Conn 78] sent: 23.7 MB, received: 23.7 MB, requests: 5780, responses: 5775 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 79] sent: 23.7 MB, received: 23.7 MB, requests: 5779, responses: 5776 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 80] sent: 23.8 MB, received: 23.7 MB, requests: 5802, responses: 5798 sent/sec: 132.0 kB recv/sec 131.9 kB req/sec: 32 res/sec 32
[Conn 81] sent: 23.9 MB, received: 23.9 MB, requests: 5830, responses: 5827 sent/sec: 132.7 kB recv/sec 132.6 kB req/sec: 32 res/sec 32
[Conn 82] sent: 23.5 MB, received: 23.5 MB, requests: 5734, responses: 5729 sent/sec: 130.5 kB recv/sec 130.4 kB req/sec: 31 res/sec 31
[Conn 83] sent: 23.8 MB, received: 23.8 MB, requests: 5821, responses: 5816 sent/sec: 132.5 kB recv/sec 132.3 kB req/sec: 32 res/sec 32
[Conn 84] sent: 23.8 MB, received: 23.7 MB, requests: 5799, responses: 5794 sent/sec: 132.0 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 85] sent: 35.7 MB, received: 33.3 MB, requests: 8720, responses: 8134 sent/sec: 198.4 kB recv/sec 185.1 kB req/sec: 48 res/sec 45
[Conn 86] sent: 35.1 MB, received: 33.3 MB, requests: 8569, responses: 8119 sent/sec: 195.0 kB recv/sec 184.8 kB req/sec: 47 res/sec 45
[Conn 87] sent: 23.7 MB, received: 23.7 MB, requests: 5785, responses: 5780 sent/sec: 131.6 kB recv/sec 131.5 kB req/sec: 32 res/sec 32
[Conn 88] sent: 23.9 MB, received: 23.9 MB, requests: 5834, responses: 5829 sent/sec: 132.8 kB recv/sec 132.6 kB req/sec: 32 res/sec 32
[Conn 89] sent: 23.6 MB, received: 23.5 MB, requests: 5752, responses: 5747 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 90] sent: 23.7 MB, received: 23.7 MB, requests: 5794, responses: 5789 sent/sec: 131.8 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 91] sent: 23.7 MB, received: 23.6 MB, requests: 5776, responses: 5771 sent/sec: 131.4 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 92] sent: 23.8 MB, received: 23.8 MB, requests: 5816, responses: 5811 sent/sec: 132.3 kB recv/sec 132.2 kB req/sec: 32 res/sec 32
[Conn 93] sent: 23.7 MB, received: 23.7 MB, requests: 5779, responses: 5774 sent/sec: 131.5 kB recv/sec 131.4 kB req/sec: 32 res/sec 32
[Conn 94] sent: 23.5 MB, received: 23.5 MB, requests: 5748, responses: 5743 sent/sec: 130.8 kB recv/sec 130.7 kB req/sec: 31 res/sec 31
[Conn 95] sent: 23.6 MB, received: 23.5 MB, requests: 5753, responses: 5748 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 96] sent: 23.6 MB, received: 23.6 MB, requests: 5772, responses: 5767 sent/sec: 131.3 kB recv/sec 131.2 kB req/sec: 32 res/sec 32
[Conn 97] sent: 23.6 MB, received: 23.6 MB, requests: 5768, responses: 5763 sent/sec: 131.3 kB recv/sec 131.1 kB req/sec: 32 res/sec 32
[Conn 98] sent: 23.7 MB, received: 23.7 MB, requests: 5793, responses: 5789 sent/sec: 131.8 kB recv/sec 131.7 kB req/sec: 32 res/sec 32
[Conn 99] sent: 23.7 MB, received: 23.7 MB, requests: 5796, responses: 5791 sent/sec: 131.9 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 100] sent: 23.6 MB, received: 23.6 MB, requests: 5758, responses: 5753 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 101] sent: 23.7 MB, received: 23.6 MB, requests: 5776, responses: 5771 sent/sec: 131.4 kB recv/sec 131.3 kB req/sec: 32 res/sec 32
[Conn 102] sent: 23.7 MB, received: 23.7 MB, requests: 5795, responses: 5792 sent/sec: 131.9 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 103] sent: 23.5 MB, received: 23.4 MB, requests: 5728, responses: 5723 sent/sec: 130.3 kB recv/sec 130.2 kB req/sec: 31 res/sec 31
[Conn 104] sent: 23.6 MB, received: 23.6 MB, requests: 5755, responses: 5751 sent/sec: 131.0 kB recv/sec 130.9 kB req/sec: 31 res/sec 31
[Conn 105] sent: 23.6 MB, received: 23.6 MB, requests: 5764, responses: 5759 sent/sec: 131.2 kB recv/sec 131.0 kB req/sec: 32 res/sec 31
[Conn 106] sent: 23.7 MB, received: 23.7 MB, requests: 5787, responses: 5782 sent/sec: 131.7 kB recv/sec 131.6 kB req/sec: 32 res/sec 32
[Conn 107] sent: 23.7 MB, received: 23.7 MB, requests: 5796, responses: 5792 sent/sec: 131.9 kB recv/sec 131.8 kB req/sec: 32 res/sec 32
[Conn 108] sent: 23.6 MB, received: 23.5 MB, requests: 5751, responses: 5748 sent/sec: 130.9 kB recv/sec 130.8 kB req/sec: 31 res/sec 31
[Conn 109] sent: 23.7 MB, received: 23.7 MB, requests: 5787, responses: 5782 sent/sec: 131.7 kB recv/sec 131.6 kB req/sec: 32 res/sec 32
[Conn 110] sent: 23.8 MB, received: 23.8 MB, requests: 5812, responses: 5808 sent/sec: 132.3 kB recv/sec 132.2 kB req/sec: 32 res/sec 32
[Conn 111] sent: 23.9 MB, received: 23.9 MB, requests: 5834, responses: 5828 sent/sec: 132.8 kB recv/sec 132.6 kB req/sec: 32 res/sec 32
[Conn 112] sent: 23.6 MB, received: 23.6 MB, requests: 5762, responses: 5757 sent/sec: 131.1 kB recv/sec 131.0 kB req/sec: 32 res/sec 31
[Conn 113] sent: 35.1 MB, received: 33.3 MB, requests: 8569, responses: 8119 sent/sec: 195.0 kB recv/sec 184.8 kB req/sec: 47 res/sec 45
[Conn 114] sent: 23.5 MB, received: 23.5 MB, requests: 5736, responses: 5731 sent/sec: 130.5 kB recv/sec 130.4 kB req/sec: 31 res/sec 31
[Conn 115] sent: 23.5 MB, received: 23.5 MB, requests: 5745, responses: 5740 sent/sec: 130.7 kB recv/sec 130.6 kB req/sec: 31 res/sec 31
