--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 512 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 33] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 34] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 35] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 36] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 37] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 38] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744586ms
[Conn 39] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744558ms
[Conn 40] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 41] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 42] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744574ms
[Conn 43] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 44] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 45] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744577ms
[Conn 46] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 47] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744554ms
[Conn 48] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744558ms
[Conn 49] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 50] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744552ms
[Conn 51] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744556ms
[Conn 52] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744551ms
[Conn 53] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 54] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744563ms
[Conn 55] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 56] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744572ms
[Conn 57] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744562ms
[Conn 58] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 59] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744562ms
[Conn 60] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744556ms
[Conn 61] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74459ms
[Conn 62] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 63] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744573ms
[Conn 64] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 65] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 66] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 67] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744589ms
[Conn 68] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 69] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 70] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 71] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 72] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744562ms
[Conn 73] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744558ms
[Conn 74] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74459ms
[Conn 75] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744561ms
[Conn 76] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 77] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744554ms
[Conn 78] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744562ms
[Conn 79] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744551ms
[Conn 80] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744551ms
[Conn 81] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 82] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 83] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744551ms
[Conn 84] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 85] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744562ms
[Conn 86] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744558ms
[Conn 87] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 88] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 89] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 90] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744554ms
[Conn 91] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 92] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74459ms
[Conn 93] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744559ms
[Conn 94] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744566ms
[Conn 95] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 96] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 97] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744551ms
[Conn 98] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74457ms
[Conn 99] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 100] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744555ms
[Conn 101] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744561ms
[Conn 102] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744556ms
[Conn 103] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744562ms
[Conn 104] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744564ms
[Conn 105] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 106] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.74456ms
[Conn 107] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744563ms
[Conn 108] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744553ms
[Conn 109] sent: 33.6 MB, received: 33.6 MB, requests: 65540, responses: 65539 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744589ms
[Conn 110] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744557ms
[Conn 111] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744552ms
[Conn 112] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744561ms
[Conn 113] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744563ms
[Conn 114] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744574ms
[Conn 115] sent: 33.6 MB, received: 33.6 MB, requests: 65541, responses: 65540 sent/sec: 186.4 kB recv/sec 186.4 kB req/sec: 364 res/sec 364 avg-res-time: 2.744561ms
