--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 512 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846397ms
[Conn 2] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846445ms
[Conn 3] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846506ms
[Conn 4] sent: 32.4 MB, received: 32.4 MB, requests: 63194, responses: 63193 sent/sec: 179.8 kB recv/sec 179.7 kB req/sec: 351 res/sec 351 avg-res-time: 2.846599ms
[Conn 5] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846485ms
[Conn 6] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846443ms
[Conn 7] sent: 32.4 MB, received: 32.4 MB, requests: 63201, responses: 63200 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846266ms
[Conn 8] sent: 32.4 MB, received: 32.4 MB, requests: 63195, responses: 63194 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846532ms
[Conn 9] sent: 32.4 MB, received: 32.4 MB, requests: 63195, responses: 63194 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846533ms
[Conn 10] sent: 32.4 MB, received: 32.4 MB, requests: 63200, responses: 63199 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846308ms
[Conn 11] sent: 32.4 MB, received: 32.4 MB, requests: 63202, responses: 63201 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846215ms
[Conn 12] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846356ms
[Conn 13] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846489ms
[Conn 14] sent: 32.4 MB, received: 32.4 MB, requests: 63195, responses: 63194 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846535ms
[Conn 15] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846399ms
[Conn 16] sent: 32.4 MB, received: 32.4 MB, requests: 63201, responses: 63200 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846262ms
[Conn 17] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846355ms
[Conn 18] sent: 32.4 MB, received: 32.4 MB, requests: 63202, responses: 63201 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.84622ms
[Conn 19] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846353ms
[Conn 20] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846407ms
[Conn 21] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846445ms
[Conn 22] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846432ms
[Conn 23] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846493ms
[Conn 24] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846399ms
[Conn 25] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846491ms
[Conn 26] sent: 32.4 MB, received: 32.4 MB, requests: 63195, responses: 63194 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846535ms
[Conn 27] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846492ms
[Conn 28] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846446ms
[Conn 29] sent: 32.4 MB, received: 32.4 MB, requests: 63194, responses: 63193 sent/sec: 179.8 kB recv/sec 179.7 kB req/sec: 351 res/sec 351 avg-res-time: 2.846577ms
[Conn 30] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.8464ms
[Conn 31] sent: 32.4 MB, received: 32.4 MB, requests: 63202, responses: 63201 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846214ms
[Conn 32] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846445ms
[Conn 33] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846493ms
[Conn 34] sent: 32.4 MB, received: 32.4 MB, requests: 63201, responses: 63200 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846298ms
[Conn 35] sent: 32.4 MB, received: 32.4 MB, requests: 63195, responses: 63194 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846542ms
[Conn 36] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846405ms
[Conn 37] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846401ms
[Conn 38] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846444ms
[Conn 39] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846492ms
[Conn 40] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846363ms
[Conn 41] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846354ms
[Conn 42] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846454ms
[Conn 43] sent: 32.4 MB, received: 32.4 MB, requests: 63200, responses: 63199 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846313ms
[Conn 44] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846399ms
[Conn 45] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846493ms
[Conn 46] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.8464ms
[Conn 47] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846447ms
[Conn 48] sent: 32.4 MB, received: 32.4 MB, requests: 63195, responses: 63194 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846545ms
[Conn 49] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846496ms
[Conn 50] sent: 32.4 MB, received: 32.4 MB, requests: 63201, responses: 63200 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846273ms
[Conn 51] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846483ms
[Conn 52] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846399ms
[Conn 53] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846399ms
[Conn 54] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846447ms
[Conn 55] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846409ms
[Conn 56] sent: 32.4 MB, received: 32.4 MB, requests: 63201, responses: 63200 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846271ms
[Conn 57] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846455ms
[Conn 58] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.84649ms
[Conn 59] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846359ms
[Conn 60] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846353ms
[Conn 61] sent: 32.4 MB, received: 32.4 MB, requests: 63194, responses: 63193 sent/sec: 179.8 kB recv/sec 179.7 kB req/sec: 351 res/sec 351 avg-res-time: 2.846585ms
[Conn 62] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846448ms
[Conn 63] sent: 32.4 MB, received: 32.4 MB, requests: 63196, responses: 63195 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846494ms
[Conn 64] sent: 32.4 MB, received: 32.4 MB, requests: 63195, responses: 63194 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846536ms
[Conn 65] sent: 32.4 MB, received: 32.4 MB, requests: 63194, responses: 63193 sent/sec: 179.8 kB recv/sec 179.7 kB req/sec: 351 res/sec 351 avg-res-time: 2.846587ms
[Conn 66] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846398ms
[Conn 67] sent: 32.4 MB, received: 32.4 MB, requests: 63200, responses: 63199 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846348ms
[Conn 68] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846351ms
[Conn 69] sent: 32.4 MB, received: 32.4 MB, requests: 63201, responses: 63200 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846265ms
[Conn 70] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846405ms
[Conn 71] sent: 32.4 MB, received: 32.4 MB, requests: 63199, responses: 63198 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846367ms
[Conn 72] sent: 32.4 MB, received: 32.4 MB, requests: 63198, responses: 63197 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846405ms
[Conn 73] sent: 32.4 MB, received: 32.4 MB, requests: 63197, responses: 63196 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846443ms
[Conn 74] sent: 32.4 MB, received: 32.4 MB, requests: 63201, responses: 63200 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846266ms
[Conn 75] sent: 32.4 MB, received: 32.4 MB, requests: 63200, responses: 63199 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846314ms
[Conn 76] sent: 32.4 MB, received: 32.4 MB, requests: 63202, responses: 63201 sent/sec: 179.8 kB recv/sec 179.8 kB req/sec: 351 res/sec 351 avg-res-time: 2.846222ms
