--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 16.4 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 514.1 MB, received: 514.1 MB, requests: 31378, responses: 31377 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731905ms
[Conn 2] sent: 514.1 MB, received: 514.1 MB, requests: 31380, responses: 31379 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731537ms
[Conn 3] sent: 515.2 MB, received: 515.2 MB, requests: 31448, responses: 31447 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.721914ms
[Conn 4] sent: 514.1 MB, received: 514.1 MB, requests: 31379, responses: 31378 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731712ms
[Conn 5] sent: 514.1 MB, received: 514.1 MB, requests: 31378, responses: 31377 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.73189ms
[Conn 6] sent: 514.1 MB, received: 514.1 MB, requests: 31380, responses: 31379 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.73157ms
[Conn 7] sent: 514.1 MB, received: 514.1 MB, requests: 31379, responses: 31378 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731741ms
[Conn 8] sent: 514.2 MB, received: 514.2 MB, requests: 31385, responses: 31384 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.732438ms
[Conn 9] sent: 514.1 MB, received: 514.1 MB, requests: 31378, responses: 31377 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731887ms
[Conn 10] sent: 514.1 MB, received: 514.1 MB, requests: 31380, responses: 31379 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731531ms
[Conn 11] sent: 514.1 MB, received: 514.1 MB, requests: 31379, responses: 31378 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731736ms
[Conn 12] sent: 514.1 MB, received: 514.1 MB, requests: 31380, responses: 31379 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731567ms
[Conn 13] sent: 514.1 MB, received: 514.1 MB, requests: 31380, responses: 31379 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731529ms
[Conn 14] sent: 514.1 MB, received: 514.1 MB, requests: 31379, responses: 31378 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731715ms
[Conn 15] sent: 514.2 MB, received: 514.2 MB, requests: 31384, responses: 31383 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.732621ms
[Conn 16] sent: 514.1 MB, received: 514.1 MB, requests: 31380, responses: 31379 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731559ms
[Conn 17] sent: 514.1 MB, received: 514.1 MB, requests: 31378, responses: 31377 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731925ms
[Conn 18] sent: 514.1 MB, received: 514.1 MB, requests: 31379, responses: 31378 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731725ms
[Conn 19] sent: 514.1 MB, received: 514.1 MB, requests: 31378, responses: 31377 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731891ms
[Conn 20] sent: 514.2 MB, received: 514.2 MB, requests: 31385, responses: 31384 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.732441ms
[Conn 21] sent: 514.1 MB, received: 514.1 MB, requests: 31379, responses: 31378 sent/sec: 2.9 MB recv/sec 2.9 MB req/sec: 174 res/sec 174 avg-res-time: 5.731754ms
