--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 16.4 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 33] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519622ms
[Conn 34] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519367ms
[Conn 35] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519673ms
[Conn 36] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519657ms
[Conn 37] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519611ms
[Conn 38] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519613ms
[Conn 39] sent: 452.1 MB, received: 452.1 MB, requests: 27593, responses: 27592 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.520648ms
[Conn 40] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519662ms
[Conn 41] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519628ms
[Conn 42] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519692ms
[Conn 43] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519381ms
[Conn 44] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519414ms
[Conn 45] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519673ms
[Conn 46] sent: 452.0 MB, received: 452.0 MB, requests: 27589, responses: 27588 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.51943ms
[Conn 47] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519618ms
[Conn 48] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519625ms
[Conn 49] sent: 452.0 MB, received: 452.0 MB, requests: 27588, responses: 27587 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519697ms
[Conn 50] sent: 452.1 MB, received: 452.1 MB, requests: 27593, responses: 27592 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.520645ms
[Conn 51] sent: 452.0 MB, received: 452.0 MB, requests: 27590, responses: 27589 sent/sec: 2.5 MB recv/sec 2.5 MB req/sec: 153 res/sec 153 avg-res-time: 6.519067ms
