--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 512 B	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290111ms
[Conn 2] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290113ms
[Conn 3] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290113ms
[Conn 4] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290103ms
[Conn 5] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290109ms
[Conn 6] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290112ms
[Conn 7] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290104ms
[Conn 8] sent: 71.4 MB, received: 71.4 MB, requests: 139494, responses: 139493 sent/sec: 396.8 kB recv/sec 396.8 kB req/sec: 774 res/sec 774 avg-res-time: 1.290333ms
[Conn 9] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290112ms
[Conn 10] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290111ms
[Conn 11] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290113ms
[Conn 12] sent: 71.4 MB, received: 71.4 MB, requests: 139403, responses: 139402 sent/sec: 396.5 kB recv/sec 396.5 kB req/sec: 774 res/sec 774 avg-res-time: 1.290155ms
[Conn 13] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290108ms
[Conn 14] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290103ms
[Conn 15] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290103ms
[Conn 16] sent: 71.4 MB, received: 71.4 MB, requests: 139434, responses: 139433 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.29012ms
[Conn 17] sent: 71.4 MB, received: 71.4 MB, requests: 139435, responses: 139434 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290114ms
[Conn 18] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290106ms
[Conn 19] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290105ms
[Conn 20] sent: 71.4 MB, received: 71.4 MB, requests: 139434, responses: 139433 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290121ms
[Conn 21] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290105ms
[Conn 22] sent: 71.4 MB, received: 71.4 MB, requests: 139489, responses: 139488 sent/sec: 396.8 kB recv/sec 396.8 kB req/sec: 774 res/sec 774 avg-res-time: 1.289874ms
[Conn 23] sent: 71.4 MB, received: 71.4 MB, requests: 139437, responses: 139436 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290094ms
[Conn 24] sent: 71.4 MB, received: 71.4 MB, requests: 139404, responses: 139403 sent/sec: 396.5 kB recv/sec 396.5 kB req/sec: 774 res/sec 774 avg-res-time: 1.290146ms
[Conn 25] sent: 71.4 MB, received: 71.4 MB, requests: 139436, responses: 139435 sent/sec: 396.6 kB recv/sec 396.6 kB req/sec: 774 res/sec 774 avg-res-time: 1.290099ms
