--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 32.8 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137027ms
[Conn 2] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137024ms
[Conn 3] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137026ms
[Conn 4] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137022ms
[Conn 5] sent: 581.8 MB, received: 581.8 MB, requests: 17756, responses: 17755 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137642ms
[Conn 6] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137019ms
[Conn 7] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137026ms
[Conn 8] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137034ms
[Conn 9] sent: 581.5 MB, received: 581.4 MB, requests: 17745, responses: 17744 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.139021ms
[Conn 10] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137025ms
[Conn 11] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.13704ms
[Conn 12] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137025ms
[Conn 13] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137032ms
[Conn 14] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137101ms
[Conn 15] sent: 581.4 MB, received: 581.3 MB, requests: 17742, responses: 17741 sent/sec: 3.2 MB recv/sec 3.2 MB req/sec: 98 res/sec 98 avg-res-time: 10.137002ms
