--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 32.8 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 33] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172036ms
[Conn 34] sent: 642.8 MB, received: 642.8 MB, requests: 19618, responses: 19617 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171321ms
[Conn 35] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.17206ms
[Conn 36] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172048ms
[Conn 37] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172096ms
[Conn 38] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172151ms
[Conn 39] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.17209ms
[Conn 40] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171991ms
[Conn 41] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172045ms
[Conn 42] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172043ms
[Conn 43] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172046ms
[Conn 44] sent: 642.7 MB, received: 642.7 MB, requests: 19614, responses: 19613 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171576ms
[Conn 45] sent: 642.8 MB, received: 642.8 MB, requests: 19618, responses: 19617 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172452ms
[Conn 46] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172039ms
[Conn 47] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.172062ms
[Conn 48] sent: 642.7 MB, received: 642.6 MB, requests: 19613, responses: 19612 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171993ms
[Conn 49] sent: 642.7 MB, received: 642.7 MB, requests: 19614, responses: 19613 sent/sec: 3.6 MB recv/sec 3.6 MB req/sec: 108 res/sec 108 avg-res-time: 9.171645ms
