--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 16.4 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 814.1 MB, received: 806.2 MB, requests: 49687, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 2] sent: 814.7 MB, received: 806.2 MB, requests: 49726, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 3] sent: 813.9 MB, received: 806.2 MB, requests: 49679, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 4] sent: 814.8 MB, received: 806.2 MB, requests: 49729, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 5] sent: 814.2 MB, received: 806.2 MB, requests: 49695, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 6] sent: 814.2 MB, received: 806.2 MB, requests: 49697, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 7] sent: 814.8 MB, received: 806.2 MB, requests: 49730, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 8] sent: 813.1 MB, received: 805.7 MB, requests: 49629, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 9] sent: 814.2 MB, received: 806.2 MB, requests: 49695, responses: 49204 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 10] sent: 813.5 MB, received: 805.7 MB, requests: 49652, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 11] sent: 813.5 MB, received: 805.7 MB, requests: 49654, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 12] sent: 814.1 MB, received: 805.7 MB, requests: 49691, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 13] sent: 813.8 MB, received: 805.7 MB, requests: 49668, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 14] sent: 814.2 MB, received: 805.7 MB, requests: 49692, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 15] sent: 813.2 MB, received: 805.7 MB, requests: 49635, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 16] sent: 814.2 MB, received: 805.7 MB, requests: 49694, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 17] sent: 813.7 MB, received: 805.7 MB, requests: 49662, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 18] sent: 814.1 MB, received: 805.7 MB, requests: 49688, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 19] sent: 814.1 MB, received: 805.7 MB, requests: 49689, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 20] sent: 813.5 MB, received: 805.7 MB, requests: 49650, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 21] sent: 814.1 MB, received: 805.7 MB, requests: 49691, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 22] sent: 813.6 MB, received: 805.7 MB, requests: 49658, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 23] sent: 813.7 MB, received: 805.7 MB, requests: 49666, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 24] sent: 814.3 MB, received: 805.7 MB, requests: 49700, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 276 res/sec 273
[Conn 25] sent: 813.3 MB, received: 805.7 MB, requests: 49642, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 26] sent: 813.7 MB, received: 805.7 MB, requests: 49666, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 27] sent: 813.6 MB, received: 805.7 MB, requests: 49659, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 28] sent: 813.2 MB, received: 805.7 MB, requests: 49636, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 29] sent: 813.6 MB, received: 805.7 MB, requests: 49661, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
[Conn 30] sent: 813.6 MB, received: 805.7 MB, requests: 49656, responses: 49173 sent/sec: 4.5 MB recv/sec 4.5 MB req/sec: 275 res/sec 273
