--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 39] sent: 17.6 MB, received: 15.1 MB, requests: 68570, responses: 59130 sent/sec: 97.5 kB recv/sec 84.1 kB req/sec: 380 res/sec 328
[Conn 40] sent: 25.5 MB, received: 23.1 MB, requests: 99480, responses: 90166 sent/sec: 141.5 kB recv/sec 128.2 kB req/sec: 552 res/sec 500
[Conn 41] sent: 25.2 MB, received: 23.1 MB, requests: 98456, responses: 90139 sent/sec: 140.0 kB recv/sec 128.2 kB req/sec: 546 res/sec 500
[Conn 42] sent: 17.7 MB, received: 15.3 MB, requests: 69319, responses: 59864 sent/sec: 98.6 kB recv/sec 85.1 kB req/sec: 385 res/sec 332
[Conn 43] sent: 25.4 MB, received: 23.1 MB, requests: 99096, responses: 90395 sent/sec: 140.9 kB recv/sec 128.6 kB req/sec: 550 res/sec 502
[Conn 44] sent: 25.2 MB, received: 23.1 MB, requests: 98328, responses: 90392 sent/sec: 139.8 kB recv/sec 128.6 kB req/sec: 546 res/sec 502
[Conn 45] sent: 23.4 MB, received: 23.1 MB, requests: 91416, responses: 90066 sent/sec: 130.0 kB recv/sec 128.1 kB req/sec: 507 res/sec 500
[Conn 46] sent: 25.2 MB, received: 23.2 MB, requests: 98456, responses: 90464 sent/sec: 140.0 kB recv/sec 128.7 kB req/sec: 546 res/sec 502
[Conn 47] sent: 25.2 MB, received: 23.1 MB, requests: 98585, responses: 90201 sent/sec: 140.2 kB recv/sec 128.3 kB req/sec: 547 res/sec 501
[Conn 48] sent: 17.6 MB, received: 15.2 MB, requests: 68847, responses: 59545 sent/sec: 97.9 kB recv/sec 84.7 kB req/sec: 382 res/sec 330
[Conn 49] sent: 23.4 MB, received: 23.1 MB, requests: 91544, responses: 90356 sent/sec: 130.2 kB recv/sec 128.5 kB req/sec: 508 res/sec 501
[Conn 50] sent: 23.5 MB, received: 23.1 MB, requests: 91800, responses: 90362 sent/sec: 130.6 kB recv/sec 128.5 kB req/sec: 510 res/sec 502
[Conn 51] sent: 18.2 MB, received: 15.8 MB, requests: 70980, responses: 61783 sent/sec: 100.9 kB recv/sec 87.9 kB req/sec: 394 res/sec 343
[Conn 52] sent: 23.4 MB, received: 23.1 MB, requests: 91544, responses: 90212 sent/sec: 130.2 kB recv/sec 128.3 kB req/sec: 508 res/sec 501
