--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 33] sent: 1.4 GB, received: 1.4 GB, requests: 14283, responses: 14180 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684856ms
[Conn 34] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.687182ms
[Conn 35] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682258ms
[Conn 36] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682752ms
[Conn 37] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682383ms
[Conn 38] sent: 1.4 GB, received: 1.4 GB, requests: 14278, responses: 14175 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684534ms
[Conn 39] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.68209ms
[Conn 40] sent: 1.4 GB, received: 1.4 GB, requests: 14271, responses: 14168 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680225ms
[Conn 41] sent: 1.4 GB, received: 1.4 GB, requests: 14284, responses: 14181 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682724ms
[Conn 42] sent: 1.4 GB, received: 1.4 GB, requests: 14273, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683209ms
[Conn 43] sent: 1.4 GB, received: 1.4 GB, requests: 14287, responses: 14184 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680212ms
[Conn 44] sent: 1.4 GB, received: 1.4 GB, requests: 14282, responses: 14179 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685726ms
[Conn 45] sent: 1.4 GB, received: 1.4 GB, requests: 14278, responses: 14175 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684528ms
[Conn 46] sent: 1.4 GB, received: 1.4 GB, requests: 14283, responses: 14180 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.677487ms
[Conn 47] sent: 1.4 GB, received: 1.4 GB, requests: 14273, responses: 14170 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684586ms
[Conn 48] sent: 1.4 GB, received: 1.4 GB, requests: 14284, responses: 14181 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683349ms
[Conn 49] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14172 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681779ms
[Conn 50] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682315ms
[Conn 51] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682809ms
[Conn 52] sent: 1.4 GB, received: 1.4 GB, requests: 14269, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682359ms
[Conn 53] sent: 1.4 GB, received: 1.4 GB, requests: 14286, responses: 14183 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681191ms
[Conn 54] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683463ms
[Conn 55] sent: 1.4 GB, received: 1.4 GB, requests: 14276, responses: 14174 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.679737ms
[Conn 56] sent: 1.4 GB, received: 1.4 GB, requests: 14278, responses: 14176 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682984ms
[Conn 57] sent: 1.4 GB, received: 1.4 GB, requests: 14269, responses: 14166 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.687731ms
[Conn 58] sent: 1.4 GB, received: 1.4 GB, requests: 14283, responses: 14180 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684806ms
[Conn 59] sent: 1.4 GB, received: 1.4 GB, requests: 14286, responses: 14183 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683163ms
[Conn 60] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.687231ms
[Conn 61] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680169ms
[Conn 62] sent: 1.4 GB, received: 1.4 GB, requests: 14270, responses: 14167 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.686694ms
[Conn 63] sent: 1.4 GB, received: 1.4 GB, requests: 14277, responses: 14174 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684869ms
[Conn 64] sent: 1.4 GB, received: 1.4 GB, requests: 14278, responses: 14175 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683774ms
[Conn 65] sent: 1.4 GB, received: 1.4 GB, requests: 14270, responses: 14167 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.686706ms
[Conn 66] sent: 1.4 GB, received: 1.4 GB, requests: 14272, responses: 14170 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683599ms
[Conn 67] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14172 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685292ms
