--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 32.8 kB	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026772ms
[Conn 2] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026749ms
[Conn 3] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026788ms
[Conn 4] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026772ms
[Conn 5] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026698ms
[Conn 6] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026775ms
[Conn 7] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027208ms
[Conn 8] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027888ms
[Conn 9] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026814ms
[Conn 10] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026792ms
[Conn 11] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027224ms
[Conn 12] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027915ms
[Conn 13] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026823ms
[Conn 14] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.02679ms
[Conn 15] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.02858ms
[Conn 16] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027934ms
[Conn 17] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027235ms
[Conn 18] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026806ms
[Conn 19] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026822ms
[Conn 20] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.028608ms
[Conn 21] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027949ms
[Conn 22] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027257ms
[Conn 23] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026834ms
[Conn 24] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026827ms
[Conn 25] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027972ms
[Conn 26] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027267ms
[Conn 27] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026838ms
[Conn 28] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.028626ms
[Conn 29] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026761ms
[Conn 30] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027987ms
[Conn 31] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026848ms
[Conn 32] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.029224ms
[Conn 33] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.028645ms
[Conn 34] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027279ms
[Conn 35] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.027035ms
[Conn 36] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.026838ms
[Conn 37] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.029523ms
[Conn 38] sent: 56.0 MB, received: 56.0 MB, requests: 1710, responses: 1709 sent/sec: 311.3 kB recv/sec 311.1 kB req/sec: 9 res/sec 9 avg-res-time: 105.028012ms
