--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 16.4 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 1.1 GB, received: 1.1 GB, requests: 66540, responses: 66539 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.704078ms
[Conn 2] sent: 1.1 GB, received: 1.1 GB, requests: 66535, responses: 66534 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703839ms
[Conn 3] sent: 1.1 GB, received: 1.1 GB, requests: 66539, responses: 66538 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.702973ms
[Conn 4] sent: 1.1 GB, received: 1.1 GB, requests: 66519, responses: 66518 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703136ms
[Conn 5] sent: 1.1 GB, received: 1.1 GB, requests: 66519, responses: 66518 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703137ms
[Conn 6] sent: 1.1 GB, received: 1.1 GB, requests: 66538, responses: 66537 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703718ms
[Conn 7] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703193ms
[Conn 8] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703155ms
[Conn 9] sent: 1.1 GB, received: 1.1 GB, requests: 66537, responses: 66536 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703759ms
[Conn 10] sent: 1.1 GB, received: 1.1 GB, requests: 66518, responses: 66517 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703179ms
[Conn 11] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703155ms
[Conn 12] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703197ms
[Conn 13] sent: 1.1 GB, received: 1.1 GB, requests: 66517, responses: 66516 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703219ms
[Conn 14] sent: 1.1 GB, received: 1.1 GB, requests: 66540, responses: 66539 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703638ms
[Conn 15] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703154ms
[Conn 16] sent: 1.1 GB, received: 1.1 GB, requests: 66532, responses: 66531 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703232ms
[Conn 17] sent: 1.1 GB, received: 1.1 GB, requests: 66539, responses: 66538 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703677ms
[Conn 18] sent: 1.1 GB, received: 1.1 GB, requests: 66520, responses: 66519 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703098ms
[Conn 19] sent: 1.1 GB, received: 1.1 GB, requests: 66532, responses: 66531 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.70324ms
[Conn 20] sent: 1.1 GB, received: 1.1 GB, requests: 66537, responses: 66536 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703031ms
[Conn 21] sent: 1.1 GB, received: 1.1 GB, requests: 66518, responses: 66517 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703177ms
[Conn 22] sent: 1.1 GB, received: 1.1 GB, requests: 66540, responses: 66539 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703637ms
[Conn 23] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703191ms
[Conn 24] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703194ms
[Conn 25] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703157ms
[Conn 26] sent: 1.1 GB, received: 1.1 GB, requests: 66538, responses: 66537 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.702992ms
[Conn 27] sent: 1.1 GB, received: 1.1 GB, requests: 66538, responses: 66537 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703717ms
[Conn 28] sent: 1.1 GB, received: 1.1 GB, requests: 66535, responses: 66534 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703109ms
[Conn 29] sent: 1.1 GB, received: 1.1 GB, requests: 66535, responses: 66534 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703116ms
[Conn 30] sent: 1.1 GB, received: 1.1 GB, requests: 66536, responses: 66535 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703798ms
[Conn 31] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703199ms
[Conn 32] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703196ms
[Conn 33] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703154ms
[Conn 34] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703199ms
[Conn 35] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703157ms
[Conn 36] sent: 1.1 GB, received: 1.1 GB, requests: 66537, responses: 66536 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703759ms
[Conn 37] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.70316ms
[Conn 38] sent: 1.1 GB, received: 1.1 GB, requests: 66536, responses: 66535 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703076ms
[Conn 39] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703155ms
[Conn 40] sent: 1.1 GB, received: 1.1 GB, requests: 66534, responses: 66533 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703164ms
[Conn 41] sent: 1.1 GB, received: 1.1 GB, requests: 66532, responses: 66531 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703234ms
[Conn 42] sent: 1.1 GB, received: 1.1 GB, requests: 66533, responses: 66532 sent/sec: 6.1 MB recv/sec 6.1 MB req/sec: 369 res/sec 369 avg-res-time: 2.703198ms
