--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 16.4 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 1] sent: 973.9 MB, received: 973.8 MB, requests: 59440, responses: 59439 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.028182ms
[Conn 2] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026973ms
[Conn 3] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026939ms
[Conn 4] sent: 973.8 MB, received: 973.8 MB, requests: 59437, responses: 59436 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.027341ms
[Conn 5] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026974ms
[Conn 6] sent: 973.6 MB, received: 973.6 MB, requests: 59422, responses: 59421 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026975ms
[Conn 7] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026941ms
[Conn 8] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026925ms
[Conn 9] sent: 973.8 MB, received: 973.8 MB, requests: 59437, responses: 59436 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.027338ms
[Conn 10] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026922ms
[Conn 11] sent: 973.6 MB, received: 973.6 MB, requests: 59422, responses: 59421 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.02698ms
[Conn 12] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026969ms
[Conn 13] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026941ms
[Conn 14] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026931ms
[Conn 15] sent: 973.8 MB, received: 973.8 MB, requests: 59437, responses: 59436 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.027336ms
[Conn 16] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026925ms
[Conn 17] sent: 973.6 MB, received: 973.6 MB, requests: 59422, responses: 59421 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.02698ms
[Conn 18] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.02697ms
[Conn 19] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026931ms
[Conn 20] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026929ms
[Conn 21] sent: 973.8 MB, received: 973.8 MB, requests: 59437, responses: 59436 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.027337ms
[Conn 22] sent: 973.6 MB, received: 973.6 MB, requests: 59422, responses: 59421 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026971ms
[Conn 23] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026968ms
[Conn 24] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026926ms
[Conn 25] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026932ms
[Conn 26] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026929ms
[Conn 27] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026925ms
[Conn 28] sent: 973.6 MB, received: 973.6 MB, requests: 59422, responses: 59421 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026974ms
[Conn 29] sent: 973.8 MB, received: 973.8 MB, requests: 59437, responses: 59436 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.027337ms
[Conn 30] sent: 973.8 MB, received: 973.8 MB, requests: 59435, responses: 59434 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026925ms
[Conn 31] sent: 973.8 MB, received: 973.8 MB, requests: 59434, responses: 59433 sent/sec: 5.4 MB recv/sec 5.4 MB req/sec: 330 res/sec 330 avg-res-time: 3.026971ms
