--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 512 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032144ms
[Conn 2] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016437ms
[Conn 3] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016434ms
[Conn 4] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032163ms
[Conn 5] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01645ms
[Conn 6] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016447ms
[Conn 7] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016519ms
[Conn 8] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032059ms
[Conn 9] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016446ms
[Conn 10] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016443ms
[Conn 11] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032179ms
[Conn 12] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01645ms
[Conn 13] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01648ms
[Conn 14] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016448ms
[Conn 15] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032134ms
[Conn 16] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016477ms
[Conn 17] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016528ms
[Conn 18] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016547ms
[Conn 19] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032123ms
[Conn 20] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016504ms
[Conn 21] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016617ms
[Conn 22] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032168ms
[Conn 23] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032102ms
[Conn 24] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032154ms
[Conn 25] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032149ms
[Conn 26] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016494ms
[Conn 27] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016524ms
[Conn 28] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.03213ms
[Conn 29] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016529ms
[Conn 30] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01648ms
[Conn 31] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032208ms
[Conn 32] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016474ms
[Conn 33] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032174ms
[Conn 34] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032128ms
[Conn 35] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032179ms
[Conn 36] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016575ms
[Conn 37] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032146ms
[Conn 38] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016565ms
[Conn 39] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016584ms
[Conn 40] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016585ms
[Conn 41] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016562ms
[Conn 42] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016503ms
[Conn 43] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016487ms
[Conn 44] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016464ms
[Conn 45] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016691ms
[Conn 46] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016467ms
[Conn 47] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032134ms
[Conn 48] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016473ms
[Conn 49] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032234ms
[Conn 50] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016504ms
[Conn 51] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016629ms
[Conn 52] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016507ms
[Conn 53] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.03238ms
[Conn 54] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01682ms
[Conn 55] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016588ms
[Conn 56] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016587ms
[Conn 57] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016587ms
[Conn 58] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016602ms
[Conn 59] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016726ms
[Conn 60] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032148ms
[Conn 61] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016552ms
[Conn 62] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016664ms
[Conn 63] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016733ms
[Conn 64] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016616ms
[Conn 65] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016675ms
[Conn 66] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032214ms
[Conn 67] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032166ms
[Conn 68] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016612ms
[Conn 69] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032095ms
[Conn 70] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01658ms
[Conn 71] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016709ms
[Conn 72] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032203ms
[Conn 73] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.03216ms
[Conn 74] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016493ms
[Conn 75] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016539ms
[Conn 76] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032233ms
[Conn 77] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016753ms
[Conn 78] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016675ms
[Conn 79] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032239ms
[Conn 80] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032212ms
[Conn 81] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016629ms
[Conn 82] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016578ms
[Conn 83] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032107ms
[Conn 84] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032224ms
[Conn 85] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032362ms
[Conn 86] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016495ms
[Conn 87] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016615ms
[Conn 88] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032161ms
[Conn 89] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016507ms
[Conn 90] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016589ms
[Conn 91] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032169ms
[Conn 92] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016512ms
[Conn 93] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016784ms
[Conn 94] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016832ms
[Conn 95] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032203ms
[Conn 96] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032235ms
[Conn 97] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.03218ms
[Conn 98] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016729ms
[Conn 99] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016603ms
[Conn 100] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.03222ms
[Conn 101] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016627ms
[Conn 102] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016695ms
[Conn 103] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032176ms
[Conn 104] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016628ms
[Conn 105] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032226ms
[Conn 106] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016532ms
[Conn 107] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016591ms
[Conn 108] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016719ms
[Conn 109] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016541ms
[Conn 110] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016614ms
[Conn 111] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032174ms
[Conn 112] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016534ms
[Conn 113] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032193ms
[Conn 114] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01676ms
[Conn 115] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016668ms
[Conn 116] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016652ms
[Conn 117] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016636ms
[Conn 118] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016864ms
[Conn 119] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016561ms
[Conn 120] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016758ms
[Conn 121] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01654ms
[Conn 122] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.03223ms
[Conn 123] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016622ms
[Conn 124] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032181ms
[Conn 125] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016842ms
[Conn 126] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016612ms
[Conn 127] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016565ms
[Conn 128] sent: 1.7 MB, received: 1.7 MB, requests: 3390, responses: 3389 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.032142ms
[Conn 129] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.016734ms
[Conn 130] sent: 1.7 MB, received: 1.7 MB, requests: 3391, responses: 3390 sent/sec: 9.6 kB recv/sec 9.6 kB req/sec: 18 res/sec 18 avg-res-time: 53.01671ms
