--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 4.1 kB	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 1] sent: 476.2 MB, received: 472.1 MB, requests: 116264, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 2] sent: 474.9 MB, received: 472.1 MB, requests: 115944, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 3] sent: 477.9 MB, received: 472.1 MB, requests: 116667, responses: 115262 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 4] sent: 477.8 MB, received: 472.1 MB, requests: 116639, responses: 115270 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 5] sent: 475.0 MB, received: 472.1 MB, requests: 115968, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 6] sent: 475.0 MB, received: 472.2 MB, requests: 115976, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 7] sent: 478.3 MB, received: 472.2 MB, requests: 116779, responses: 115276 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 8] sent: 477.8 MB, received: 472.1 MB, requests: 116660, responses: 115256 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 9] sent: 476.3 MB, received: 472.2 MB, requests: 116272, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 10] sent: 475.0 MB, received: 472.2 MB, requests: 115968, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 11] sent: 474.9 MB, received: 472.1 MB, requests: 115952, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 12] sent: 478.7 MB, received: 472.1 MB, requests: 116866, responses: 115270 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 649 res/sec 640
[Conn 13] sent: 474.9 MB, received: 472.1 MB, requests: 115944, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 14] sent: 475.0 MB, received: 472.1 MB, requests: 115968, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 15] sent: 478.1 MB, received: 472.1 MB, requests: 116723, responses: 115270 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 16] sent: 476.3 MB, received: 472.2 MB, requests: 116272, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 17] sent: 476.3 MB, received: 472.2 MB, requests: 116272, responses: 115286 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 18] sent: 480.3 MB, received: 472.1 MB, requests: 117250, responses: 115266 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 651 res/sec 640
[Conn 19] sent: 475.0 MB, received: 472.1 MB, requests: 115960, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 20] sent: 475.1 MB, received: 472.1 MB, requests: 115992, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 21] sent: 477.8 MB, received: 472.2 MB, requests: 116654, responses: 115280 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 22] sent: 476.3 MB, received: 472.2 MB, requests: 116272, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 23] sent: 476.3 MB, received: 472.2 MB, requests: 116288, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 646 res/sec 640
[Conn 24] sent: 475.1 MB, received: 472.2 MB, requests: 116000, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 25] sent: 476.3 MB, received: 472.1 MB, requests: 116272, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 26] sent: 476.2 MB, received: 472.1 MB, requests: 116264, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 27] sent: 474.9 MB, received: 472.1 MB, requests: 115944, responses: 115262 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 28] sent: 476.3 MB, received: 472.2 MB, requests: 116280, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 646 res/sec 640
[Conn 29] sent: 474.9 MB, received: 472.2 MB, requests: 115952, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 30] sent: 475.0 MB, received: 472.2 MB, requests: 115960, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 31] sent: 478.1 MB, received: 472.3 MB, requests: 116722, responses: 115302 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 32] sent: 477.3 MB, received: 472.2 MB, requests: 116531, responses: 115272 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 33] sent: 474.9 MB, received: 472.1 MB, requests: 115952, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 34] sent: 480.7 MB, received: 472.3 MB, requests: 117348, responses: 115302 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 651 res/sec 640
[Conn 35] sent: 477.7 MB, received: 472.2 MB, requests: 116627, responses: 115272 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 36] sent: 478.9 MB, received: 472.3 MB, requests: 116922, responses: 115308 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 649 res/sec 640
[Conn 37] sent: 476.3 MB, received: 472.1 MB, requests: 116272, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 38] sent: 479.6 MB, received: 472.1 MB, requests: 117082, responses: 115262 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 650 res/sec 640
[Conn 39] sent: 476.3 MB, received: 472.1 MB, requests: 116272, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 40] sent: 478.2 MB, received: 472.1 MB, requests: 116747, responses: 115248 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 41] sent: 476.2 MB, received: 472.2 MB, requests: 116264, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 42] sent: 477.3 MB, received: 472.1 MB, requests: 116523, responses: 115248 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 43] sent: 476.2 MB, received: 472.1 MB, requests: 116264, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 44] sent: 478.0 MB, received: 472.1 MB, requests: 116707, responses: 115252 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 45] sent: 478.7 MB, received: 472.2 MB, requests: 116874, responses: 115278 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 649 res/sec 640
[Conn 46] sent: 478.7 MB, received: 472.1 MB, requests: 116867, responses: 115252 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 649 res/sec 640
[Conn 47] sent: 478.0 MB, received: 472.1 MB, requests: 116691, responses: 115270 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 48] sent: 478.1 MB, received: 472.3 MB, requests: 116722, responses: 115302 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 49] sent: 475.0 MB, received: 472.1 MB, requests: 115968, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 50] sent: 475.0 MB, received: 472.1 MB, requests: 115968, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 51] sent: 476.3 MB, received: 472.1 MB, requests: 116272, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 52] sent: 476.3 MB, received: 472.2 MB, requests: 116296, responses: 115294 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 646 res/sec 640
[Conn 53] sent: 478.4 MB, received: 472.1 MB, requests: 116803, responses: 115254 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 54] sent: 479.7 MB, received: 472.2 MB, requests: 117126, responses: 115274 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 650 res/sec 640
[Conn 55] sent: 480.5 MB, received: 472.1 MB, requests: 117314, responses: 115268 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 651 res/sec 640
[Conn 56] sent: 477.2 MB, received: 472.1 MB, requests: 116499, responses: 115266 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 57] sent: 474.9 MB, received: 472.1 MB, requests: 115936, responses: 115262 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 58] sent: 478.2 MB, received: 472.2 MB, requests: 116739, responses: 115286 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 59] sent: 476.2 MB, received: 472.1 MB, requests: 116264, responses: 115262 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 60] sent: 477.5 MB, received: 472.1 MB, requests: 116571, responses: 115264 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 61] sent: 475.0 MB, received: 472.1 MB, requests: 115968, responses: 115270 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 644 res/sec 640
[Conn 62] sent: 477.6 MB, received: 472.1 MB, requests: 116595, responses: 115270 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 63] sent: 478.4 MB, received: 472.3 MB, requests: 116787, responses: 115302 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 64] sent: 476.2 MB, received: 472.1 MB, requests: 116256, responses: 115262 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 65] sent: 476.3 MB, received: 472.2 MB, requests: 116280, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 646 res/sec 640
[Conn 66] sent: 476.3 MB, received: 472.2 MB, requests: 116272, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 67] sent: 477.4 MB, received: 472.1 MB, requests: 116555, responses: 115262 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 647 res/sec 640
[Conn 68] sent: 480.0 MB, received: 472.3 MB, requests: 117186, responses: 115302 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 651 res/sec 640
[Conn 69] sent: 476.3 MB, received: 472.2 MB, requests: 116272, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 645 res/sec 640
[Conn 70] sent: 478.5 MB, received: 472.3 MB, requests: 116818, responses: 115300 sent/sec: 2.7 MB recv/sec 2.6 MB req/sec: 648 res/sec 640
[Conn 71] sent: 476.3 MB, received: 472.3 MB, requests: 116296, responses: 115302 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 646 res/sec 640
[Conn 72] sent: 476.3 MB, received: 472.2 MB, requests: 116280, responses: 115278 sent/sec: 2.6 MB recv/sec 2.6 MB req/sec: 646 res/sec 640
