--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 1] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.012963ms
[Conn 2] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022871ms
[Conn 3] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003122ms
[Conn 4] sent: 1.1 MB, received: 1.1 MB, requests: 4257, responses: 4256 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 41.993235ms
[Conn 5] sent: 1.1 MB, received: 1.1 MB, requests: 4257, responses: 4256 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 41.993245ms
[Conn 6] sent: 1.1 MB, received: 1.1 MB, requests: 4257, responses: 4256 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 41.993197ms
[Conn 7] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022876ms
[Conn 8] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003063ms
[Conn 9] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022871ms
[Conn 10] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.01308ms
[Conn 11] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.012942ms
[Conn 12] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013009ms
[Conn 13] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003154ms
[Conn 14] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022881ms
[Conn 15] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022879ms
[Conn 16] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022875ms
[Conn 17] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003127ms
[Conn 18] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013009ms
[Conn 19] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013004ms
[Conn 20] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003153ms
[Conn 21] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022883ms
[Conn 22] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022853ms
[Conn 23] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013055ms
[Conn 24] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.012983ms
[Conn 25] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013008ms
[Conn 26] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.01298ms
[Conn 27] sent: 1.1 MB, received: 1.1 MB, requests: 4258, responses: 4257 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 41.983419ms
[Conn 28] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003154ms
[Conn 29] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022887ms
[Conn 30] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013022ms
[Conn 31] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022839ms
[Conn 32] sent: 1.1 MB, received: 1.1 MB, requests: 4258, responses: 4257 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 41.983344ms
[Conn 33] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.012978ms
[Conn 34] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022915ms
[Conn 35] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013069ms
[Conn 36] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022914ms
[Conn 37] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.02287ms
[Conn 38] sent: 1.1 MB, received: 1.1 MB, requests: 4257, responses: 4256 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 41.993269ms
[Conn 39] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022962ms
[Conn 40] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022902ms
[Conn 41] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003109ms
[Conn 42] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013005ms
[Conn 43] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013014ms
[Conn 44] sent: 1.1 MB, received: 1.1 MB, requests: 4256, responses: 4255 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 42.003121ms
[Conn 45] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.02295ms
[Conn 46] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022902ms
[Conn 47] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022846ms
[Conn 48] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.022878ms
[Conn 49] sent: 1.1 MB, received: 1.1 MB, requests: 4279, responses: 4278 sent/sec: 6.1 kB recv/sec 6.1 kB req/sec: 23 res/sec 23 avg-res-time: 41.995589ms
[Conn 50] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013085ms
[Conn 51] sent: 1.1 MB, received: 1.1 MB, requests: 4254, responses: 4253 sent/sec: 6.0 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.023009ms
[Conn 52] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.013017ms
[Conn 53] sent: 1.1 MB, received: 1.1 MB, requests: 4255, responses: 4254 sent/sec: 6.1 kB recv/sec 6.0 kB req/sec: 23 res/sec 23 avg-res-time: 42.012994ms
